result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note
1,AUTAUGA,0040 E_MEMORIAL CHRISTIAN,40 E MEMORIAL CHRISTIAN,E MEMORIAL CHRISTIAN,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,46.51,1.08,2,CHURCH OF THE LIVING WATER,45.43,SAFE HARBOR MINISTRIES,42.86,False,True,low_or_ambiguous_score,,
4,AUTAUGA,110 CENTRAL AL ELECTRIC,110 CENTRAL AL ELECTRIC,CENTRAL AL ELECTRIC,2014-General-Autauga.xlsx,contest_rows,False,010010080,0080,Independence Voting Center,INDEPENDENCE VOTING CENTER,review,46.44,0.23,3,BILLINGSLEY GOVERNMENT CENTER,46.22,AUTAUGAVILLE,45.0,False,True,low_or_ambiguous_score,,
6,AUTAUGA,140 AUTAUGAVILLE VFD,140 AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010140,0140,Autaugaville,AUTAUGAVILLE,review,90.0,4.5,1,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,
8,AUTAUGA,160 AUTAUGA ACADEMY,160 AUTAUGA ACADEMY,AUTAUGA ACADEMY,2014-General-Autauga.xlsx,contest_rows,False,010010140,0140,Autaugaville,AUTAUGAVILLE,review,59.26,23.63,1,INDEPENDENCE VOTING CENTER,35.62,MARBURY COMMUNITY CENTER,34.62,False,True,low_or_ambiguous_score,,
10,AUTAUGA,180 OLD KINGSTON VFD,180 OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010180,0180,Old Kingston Vote Site,OLD KINGSTON VOTE SITE,review,85.5,0.0,3,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,
11,AUTAUGA,20 JOURNEY CHURCH,20 JOURNEY CHURCH,20 JOURNEY CHURCH,2014-General-Autauga.xlsx,contest_rows,False,010010020,0020,Church of the Living Water,CHURCH OF THE LIVING WATER,review,85.5,34.52,1,TRINITY METHODIST CHURCH,50.98,PRATTMONT BAPTIST CHURCH,49.57,False,True,low_or_ambiguous_score,,
12,AUTAUGA,220 UPPER KINGSTON,220 UPPER KINGSTON,UPPER KINGSTON,2014-General-Autauga.xlsx,contest_rows,False,010010220,0220,Upper Kingston Community Center,UPPER KINGSTON COMMUNITY CENTER,review,90.0,4.5,1,OLD KINGSTON VOTE SITE,85.5,PINE LEVEL FIRE STATION,46.96,False,True,low_or_ambiguous_score,,
13,AUTAUGA,30 BILLINGSLEY GOV_ BUILDING,30 BILLINGSLEY GOV BUILDING,30 BILLINGSLEY GOV BUILDING,2014-General-Autauga.xlsx,contest_rows,False,010010030,0030,Billingsley Government Center,BILLINGSLEY GOVERNMENT CENTER,review,60.71,21.94,1,OLD KINGSTON VOTE SITE,38.78,PINE LEVEL FIRE STATION,36.0,False,True,low_or_ambiguous_score,,
14,AUTAUGA,50 WHITE CITY VFD,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,85.5,0.0,3,WHITE CITY FIRE STATION,85.5,BOOTH VOLUNTEER FIRE DEPARTMENT,84.82,False,True,low_or_ambiguous_score,,
15,AUTAUGA,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,2014-General-Autauga.xlsx,contest_rows,False,010010060,0060,Marbury Community Center,MARBURY COMMUNITY CENTER,review,50.0,6.52,1,SAFE HARBOR MINISTRIES,43.48,MULBERRY STATESVILLE,36.36,False,True,low_or_ambiguous_score,,
16,AUTAUGA,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,57.58,6.6,1,JONES COMMUNITY CENTER,50.98,INDEPENDENCE VOTING CENTER,50.91,False,True,low_or_ambiguous_score,,
17,AUTAUGA,80 INDEPENDENCE VFD,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010080,0080,Independence Voting Center,INDEPENDENCE VOTING CENTER,review,85.5,0.0,3,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,
22,BALDWIN,BARNWELL VFD,BARNWELL VOLUNTEER FIRE DEPARTMENT,BARNWELL VOLUNTEER FIRE DEPARTMENT,2014-General-Baldwin.xlsx,contest_rows,False,010030300,0300,Marlow Volunteer Fire Department,MARLOW VOLUNTEER FIRE DEPARTMENT,review,87.88,2.38,1,JOSEPHINE FIRE HOUSE,85.5,SEMINOLE FIRE HOUSE,85.5,False,True,low_or_ambiguous_score,,
