result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note
1,SUMTER,WHITFIELD TRAILER,WHITFIELD TRAILER,WHITFIELD TRAILER,2012General-PrecinctLevel.zip,normalized_2012,False,011191,1,Whitfield Community Center,WHITFIELD COMMUNITY CENTER,review,85.5,29.94,1,BOYD VOTING TRAILER,55.56,WARD FIRE STATION,47.06,False,True,low_or_ambiguous_score,,
2,SUMTER,WARD COMMUNITY CENTER,WARD COMMUNITY CENTER,WARD COMMUNITY CENTER,2012General-PrecinctLevel.zip,normalized_2012,False,011195,5,Bellamy Community Center,BELLAMY COMMUNITY CENTER,review,82.16,0.0,3,WHITFIELD COMMUNITY CENTER,82.16,PANOLA COMMUNITY CENTER,82.16,False,True,low_or_ambiguous_score,,
3,SUMTER,CUBA COMMUNITY CENTER,CUBA COMMUNITY CENTER,CUBA COMMUNITY CENTER,2012General-PrecinctLevel.zip,normalized_2012,False,011193,3,Cuba City Hall,CUBA CITY HALL,review,85.5,1.06,2,BELLAMY COMMUNITY CENTER,84.44,WHITFIELD COMMUNITY CENTER,82.16,False,True,low_or_ambiguous_score,,
4,SUMTER,YORK - SUMTER RESCUE SQUAD,YORK SUMTER RESCUE SQUAD,YORK SUMTER RESCUE SQUAD,2012General-PrecinctLevel.zip,normalized_2012,False,011194,4,York Hightower Center,YORK HIGHTOWER CENTER,review,48.89,11.82,1,WARD FIRE STATION,37.07,GEIGER CITY HALL,34.84,False,True,low_or_ambiguous_score,,
5,SUMTER,BELLAMY COMMUNITY CENTER,BELLAMY COMMUNITY CENTER,BELLAMY COMMUNITY CENTER,2012General-PrecinctLevel.zip,normalized_2012,False,011195,5,Bellamy Community Center,BELLAMY COMMUNITY CENTER,exact_normalized,100.0,100.0,1,WARD FIRE STATION,37.07,GEIGER CITY HALL,34.84,True,False,,1,
6,SUMTER,COATOPA BEL FIRE DEPT.,COATOPA BEL FIRE DEPARTMENT,COATOPA BEL FIRE DEPARTMENT,2012General-PrecinctLevel.zip,normalized_2012,False,011196,6,Coatopa Fire Dept,COATOPA FIRE DEPARTMENT,fuzzy_high,95.0,9.5,1,WARD FIRE STATION,85.5,BELLAMY COMMUNITY CENTER,40.98,True,False,,1,
7,SUMTER,LIVINGSTON CIVIC CENTER,LIVINGSTON CIVIC CENTER,LIVINGSTON CIVIC CENTER,2012General-PrecinctLevel.zip,normalized_2012,False,011197,7,Livingston Community Center,LIVINGSTON COMMUNITY CENTER,review,80.75,28.58,1,PANOLA COMMUNITY CENTER,52.17,YORK HIGHTOWER CENTER,50.0,False,True,low_or_ambiguous_score,,
8,SUMTER,BOYD TRAILER,BOYD TRAILER,BOYD TRAILER,2012General-PrecinctLevel.zip,normalized_2012,False,011198,8,Boyd Voting Trailer,BOYD VOTING TRAILER,review,85.5,40.5,1,BELLAMY COMMUNITY CENTER,45.0,WHITFIELD COMMUNITY CENTER,45.0,False,True,low_or_ambiguous_score,,
9,SUMTER,EMELLE SUMT. TOWN HALL,EMELLE SUMT TOWN HALL,EMELLE SUMT TOWN HALL,2012General-PrecinctLevel.zip,normalized_2012,False,011193,3,Cuba City Hall,CUBA CITY HALL,review,85.5,8.09,1,EMELLE CITY HALL,77.41,GAINESVILLE CITY HALL,52.38,False,True,low_or_ambiguous_score,,
10,SUMTER,EPES COMMUNITY CENTER,EPES COMMUNITY CENTER,EPES COMMUNITY CENTER,2012General-PrecinctLevel.zip,normalized_2012,False,0111910,10,Epes Community Center,EPES COMMUNITY CENTER,exact_normalized,100.0,100.0,1,EMELLE CITY HALL,77.41,GAINESVILLE CITY HALL,52.38,True,False,,1,
