result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note,house_inferred_districts,senate_inferred_districts,house_spatial_districts,senate_spatial_districts,house_district_compatible,senate_district_compatible,district_validation,validated_match,accepted_conflict
1,AUTAUGA,0040 E_MEMORIAL CHRISTIAN,40 E MEMORIAL CHRISTIAN,E MEMORIAL CHRISTIAN,2014-General-Autauga.xlsx,contest_rows,False,01001000004,000004,East Memorial Christian Academy,EAST MEMORIAL CHRISTIAN ACADEMY,review,85.5,41.06,1,HERITAGE BAPTIST,44.44,CAMELLIA BAPTIST,44.44,False,True,low_or_ambiguous_score,,,88,30,88,30,True,True,compatible,False,False
2,AUTAUGA,10 JONES COMMUNITY CENTER,10 JONES COMMUNITY CENTER,10 JONES COMMUNITY CENTER,2014-General-Autauga.xlsx,contest_rows,False,01001000001,000001,Jones Comm Ctr,JONES COMMUNITY CENTER,fuzzy_high,95.0,15.83,1,DOSTER COMMUNITY CENTER,79.17,UPPER KINGSTON COMMUNITY CENTER,74.15,True,False,,1,,69,30,69,30,True,True,compatible,True,False
3,AUTAUGA,100 TRINITY METHODIST,100 TRINITY METHODIST,TRINITY METHODIST,2014-General-Autauga.xlsx,contest_rows,False,01001000010,000010,Trinity Methodist,TRINITY METHODIST,exact_normalized,100.0,100.0,1,DOSTER COMMUNITY CENTER,79.17,UPPER KINGSTON COMMUNITY CENTER,74.15,True,False,,1,,88,30,88,30,True,True,compatible,True,False
4,AUTAUGA,110 CENTRAL AL ELECTRIC,110 CENTRAL AL ELECTRIC,CENTRAL AL ELECTRIC,2014-General-Autauga.xlsx,contest_rows,False,01001000011,000011,Central AL Electric Co-Op,CENTRAL AL ELECTRIC COUNTY OP,fuzzy_medium,90.0,43.56,1,PINE LEVEL CULTURAL CENTER,46.44,UPPER KINGSTON COMMUNITY CENTER,44.33,True,False,,1,,69,30,69,30,True,True,compatible,True,False
5,AUTAUGA,130 CHAMBER OF COMMERCE,130 CHAMBER OF COMMERCE,CHAMBER OF COMMERCE,2014-General-Autauga.xlsx,contest_rows,False,01001000001,000001,Jones Comm Ctr,JONES COMMUNITY CENTER,review,46.34,0.74,3,UPPER KINGSTON COMMUNITY CENTER,45.6,DOSTER COMMUNITY CENTER,45.24,False,True,low_or_ambiguous_score,,,42;88,30,69,30,False,True,conflict,False,False
6,AUTAUGA,140 AUTAUGAVILLE VFD,140 AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,01001000014,000014,Autaugaville VFD,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,exact_normalized,100.0,100.0,1,UPPER KINGSTON COMMUNITY CENTER,45.6,DOSTER COMMUNITY CENTER,45.24,True,False,,1,,69,30,69,30,True,True,compatible,True,False
7,AUTAUGA,150 PRATTMONT BAPTIST CHURCH,150 PRATTMONT BAPTIST CHURCH,PRATTMONT BAPTIST CHURCH,2014-General-Autauga.xlsx,contest_rows,False,01001000015,000015,Prattmont Baptist,PRATTMONT BAPTIST,fuzzy_high,95.0,9.5,1,HERITAGE BAPTIST,85.5,CAMELLIA BAPTIST,85.5,True,False,,1,,88,30,88,30,True,True,compatible,True,False
8,AUTAUGA,160 AUTAUGA ACADEMY,160 AUTAUGA ACADEMY,AUTAUGA ACADEMY,2014-General-Autauga.xlsx,contest_rows,False,01001000004,000004,East Memorial Christian Academy,EAST MEMORIAL CHRISTIAN ACADEMY,review,85.5,28.23,1,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,57.27,PINE LEVEL CULTURAL CENTER,43.45,False,True,low_or_ambiguous_score,,,42;69;88,30,88,30,True,True,compatible,False,False
9,AUTAUGA,170 CAMELLIA BAPTIST CHURCH,170 CAMELLIA BAPTIST CHURCH,CAMELLIA BAPTIST CHURCH,2014-General-Autauga.xlsx,contest_rows,False,01001000017,000017,Camellia Baptist,CAMELLIA BAPTIST,fuzzy_high,95.0,37.17,1,HERITAGE BAPTIST,57.83,PRATTMONT BAPTIST,55.42,True,False,,1,,88,30,88,30,True,True,compatible,True,False
10,AUTAUGA,180 OLD KINGSTON VFD,180 OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,01001000018,000018,Old Kingston VFD,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,exact_normalized,100.0,100.0,1,HERITAGE BAPTIST,57.83,PRATTMONT BAPTIST,55.42,True,False,,1,,69,30,69,30,True,True,compatible,True,False
11,AUTAUGA,20 JOURNEY CHURCH,20 JOURNEY CHURCH,20 JOURNEY CHURCH,2014-General-Autauga.xlsx,contest_rows,False,01001000022,000022,Upper Kingston Comm Ctr,UPPER KINGSTON COMMUNITY CENTER,review,42.35,1.33,2,JONES COMMUNITY CENTER,41.03,CENTRAL AL ELECTRIC COUNTY OP,40.24,False,True,low_or_ambiguous_score,,,88,30,42;88,30,True,True,compatible,False,False
12,AUTAUGA,220 UPPER KINGSTON,220 UPPER KINGSTON,UPPER KINGSTON,2014-General-Autauga.xlsx,contest_rows,False,01001000022,000022,Upper Kingston Comm Ctr,UPPER KINGSTON COMMUNITY CENTER,review,90.0,4.5,1,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,85.5,EAST MEMORIAL CHRISTIAN ACADEMY,42.75,False,True,low_or_ambiguous_score,,,42;88,30,42;88,30,True,True,compatible,False,False
13,AUTAUGA,30 BILLINGSLEY GOV_ BUILDING,30 BILLINGSLEY GOV BUILDING,30 BILLINGSLEY GOV BUILDING,2014-General-Autauga.xlsx,contest_rows,False,01001000003,000003,Billingsley Govt Bldg,BILLINGSLEY GOVT BUILDING,fuzzy_medium,92.31,56.68,1,CAMELLIA BAPTIST,35.62,UPPER KINGSTON COMMUNITY CENTER,34.48,True,False,,1,,42,30,42,30,True,True,compatible,True,False
14,AUTAUGA,50 WHITE CITY VFD,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,01001000005,000005,White City VF Station,WHITE CITY VF STATION,review,85.5,0.68,2,BOOTH VOLUNTEER FIRE DEPARTMENT,84.82,INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,75.4,False,True,low_or_ambiguous_score,,,42,30,42,30,True,True,compatible,False,False
15,AUTAUGA,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,2014-General-Autauga.xlsx,contest_rows,False,01001000006,000006,Marbury Middle School,MARBURY MIDDLE SCHOOL,fuzzy_high,95.0,59.0,1,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,36.0,INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,35.62,True,False,,1,,31;42,30,31;42,30,True,True,compatible,True,False
16,AUTAUGA,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,70 PINE LEVEL CULTURAL CENTER,2014-General-Autauga.xlsx,contest_rows,False,01001000007,000007,Pine Level Cultural Ctr,PINE LEVEL CULTURAL CENTER,fuzzy_high,95.0,44.02,1,JONES COMMUNITY CENTER,50.98,CENTRAL AL ELECTRIC COUNTY OP,49.14,True,False,,1,,42,30,42,30,True,True,compatible,True,False
