model_run_id,war_outcome_id,state_code,cycle,chamber,district,lag_context_available,lag_context_status,raw_gap,war,war_party,headline_expected_gap,headline_zero_fill_lag_component,lag_available_fit_rows,expected_gap_no_lag_spec,war_no_lag_spec,diff_no_lag_spec,war_party_no_lag_spec,sign_change_no_lag_spec,expected_gap_lag_available_fit,war_lag_available_fit,diff_lag_available_fit,war_party_lag_available_fit,sign_change_lag_available_fit,expected_gap_missing_excluded_fit,war_missing_excluded_fit,diff_missing_excluded_fit,war_party_missing_excluded_fit,sign_change_missing_excluded_fit
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-ACD1B6CFAC5B892FA85C,AL,2018,lower,2,True,validated_prior_with_nonpresidential_current_ticket,1.0131030311206857,0.2802932009146062,D,0.7328098302060795,-7.245760826424973,347,3.2259822414905557,-2.21287921036987,-2.493172411284476,R,1.0,-1.354317925311787,2.367420956432473,2.0871277555178667,D,0.0,-1.354317925311787,2.367420956432473,2.0871277555178667,D,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-2FA078E1F83959C3BEEF,AL,2018,lower,3,True,validated_prior_with_nonpresidential_current_ticket,13.871703158844564,12.72899247381039,D,1.1427106850341744,-3.0830317694920115,347,0.7513035562575918,13.120399602586973,0.39140712877658324,D,0.0,2.148303435523202,11.723399723321362,-1.0055927504890274,D,0.0,2.148303435523202,11.723399723321362,-1.0055927504890274,D,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-95F32D69686B6CFA1219,AL,2018,lower,4,True,validated_prior_with_nonpresidential_current_ticket,-4.249050499408568,-8.397014465420465,R,4.147963966011896,-6.141444854874973,347,6.027621488254432,-10.276671987663,-1.8796575222425354,R,0.0,1.64824128010475,-5.897291779513318,2.4997226859071473,R,0.0,1.64824128010475,-5.897291779513318,2.4997226859071473,R,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-442DED690B460960AF9A,AL,2018,lower,5,True,validated_prior_with_nonpresidential_current_ticket,-3.4944827980876028,-2.592377550495617,R,-0.9021052475919856,-6.703512821813481,347,1.2830248479885091,-4.777507646076112,-2.1851300955804946,R,0.0,-1.8209588095678855,-1.6735239885197173,0.9188535619758997,R,0.0,-1.8209588095678855,-1.6735239885197173,0.9188535619758997,R,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-3283E57DCE691AE7F22C,AL,2018,lower,7,True,validated_prior_with_nonpresidential_current_ticket,13.406375673864773,1.9552408464700424,D,11.45113482739473,-8.547300928406406,347,14.770221510039862,-1.3638458361750896,-3.319086682645132,R,1.0,3.1838255381333527,10.22255013573142,8.267309289261378,D,0.0,3.1838255381333527,10.22255013573142,8.267309289261378,D,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-9531E1503E2C6D7A510D,AL,2018,lower,8,True,validated_prior_with_nonpresidential_current_ticket,0.6386637711439107,4.186809276505197,D,-3.548145505361286,-3.988032830151151,347,-3.4142006791038977,4.052864450247808,-0.13394482625738835,D,0.0,-1.1267162578266554,1.7653800289705661,-2.421429247534631,D,0.0,-1.1267162578266554,1.7653800289705661,-2.421429247534631,D,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-BD8DA90B4FBA11E11797,AL,2018,lower,10,True,validated_prior_with_nonpresidential_current_ticket,-5.951019711359823,-0.6584671419229036,R,-5.29255256943692,-1.964325526637697,347,-6.57316265873632,0.6221429473764966,1.2806100892994001,D,1.0,-1.4667114330999607,-4.484308278259863,-3.825841136336959,R,0.0,-1.4667114330999607,-4.484308278259863,-3.825841136336959,R,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-E3A778403481AD2D7F37,AL,2018,lower,15,True,validated_prior_with_nonpresidential_current_ticket,2.601298866097764,0.3500809454994371,D,2.251217920598327,-2.0529305250310204,347,-0.04327427101671888,2.6445731371144827,2.2944921916150456,D,0.0,5.473384785967075,-2.8720859198693107,-3.222166865368748,R,1.0,5.473384785967075,-2.8720859198693107,-3.222166865368748,R,1.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-60189DA3A69756B017A3,AL,2018,lower,18,True,validated_prior_with_nonpresidential_current_ticket,8.067229304927409,0.6957431406621719,D,7.371486164265237,-7.330954472616048,347,9.972311206015272,-1.905081901087863,-2.600825041750035,R,1.0,2.385221686482925,5.682007618444484,4.986264477782312,D,0.0,2.385221686482925,5.682007618444484,4.986264477782312,D,0.0
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,WAROUT-E5EEA5BF5CCE7852679B,AL,2018,lower,20,True,validated_prior_with_nonpresidential_current_ticket,1.3153311919943391,4.583868863349162,D,-3.268537671354823,-4.688753692951934,347,-2.567831412124765,3.883162604119104,-0.7007062592300577,D,0.0,-1.5297256126377967,2.8450568046321356,-1.7388120587170262,D,0.0,-1.5297256126377967,2.8450568046321356,-1.7388120587170262,D,0.0
