roster_id,build_run_id,incumbency_evidence_id,cycle,state_code,chamber,district,incumbent_name,party_family,incumbent_ran,open_seat,dem_incumbent,rep_incumbent,incumbency_balance,existing_roster_status,comparison_status,review_status,resolution_rationale,evidence_method,evidence_url
AL26INC-A592A55F05B2098B4E05,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-4D96EC67FDE8BDEC37CE,2026,AL,lower,1,Phillip Pettus,republican,0,1,0,0,0,open,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-A8813E07DFCE4B92643A,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-231B0A52B66F7D62D355,2026,AL,lower,2,Ben Harrison,republican,1,0,0,1,-1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-31958F5B6E5262432BE9,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-6C29B3ADC9B35C88EDC0,2026,AL,lower,3,Bubba Underwood,republican,1,0,0,1,-1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-4E47A1CA34B84CC97AB1,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-DF495256F7EEE88202F7,2026,AL,lower,4,Parker Moore,republican,1,0,0,1,-1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-5A0B3760335C81B71B32,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-732F7E4F6443F0AB632B,2026,AL,lower,5,Danny Crawford,republican,1,0,0,1,-1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-9D4FE11E86C75744BFD4,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-61E12E545A3777C303CA,2026,AL,lower,6,Andy Whitt,republican,1,0,0,1,-1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-2E3119DE9D5E359CC351,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-4F25EAE692F4D2BE3D83,2026,AL,lower,7,Ernie Yarbrough,republican,1,0,0,1,-1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-B89909E35E2494DE458C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-E599EDAAB7208605E0D1,2026,AL,lower,8,Terri Collins,republican,0,1,0,0,0,open,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-B948A8859F60CB72D12B,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-8FAE19F2383AE01C7CAD,2026,AL,lower,9,Scott Stadthagen,republican,1,0,0,1,-1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
AL26INC-896DE6B4886F4BDBFE8C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,INCEV-AA310804A641C5EF1630,2026,AL,lower,10,Marilyn Lands,democratic,1,0,1,0,1,incumbent_running,agrees,approved,Populated workbook and existing candidate-derived race roster agree.,Current roster; incumbent identity from ElectIndex/MultiState aggregation; Ballotpedia/Wikipedia links supplied for audit,https://raw.githubusercontent.com/ElectIndex/26_us_forecast_data/main/leg_races_2026.csv
