state,year,chamber,district,dem_votes,rep_votes,dem_margin
GA,2012,house,105,10007.0,10561.0,-2.693504472967717
GA,2012,house,106,,16792.0,
GA,2012,house,108,,16074.0,
GA,2012,house,109,,19822.0,
GA,2012,house,110,,16365.0,
GA,2012,house,111,11695.0,13172.0,-5.939598664897253
GA,2012,house,112,,20097.0,
GA,2012,house,113,18199.0,,
GA,2012,house,114,,19622.0,
GA,2012,house,115,,18608.0,
GA,2012,house,116,,16490.0,
GA,2012,house,117,,15482.0,
GA,2012,house,118,12117.0,5090.0,40.83803103388156
GA,2012,house,119,,15613.0,
GA,2012,house,120,,18750.0,
GA,2012,house,121,,17517.0,
GA,2012,house,122,,22835.0,
GA,2012,house,123,,21250.0,
GA,2012,house,124,15780.0,,
GA,2012,house,125,,6407.0,
GA,2012,house,126,19305.0,,
GA,2012,house,127,14974.0,,
GA,2012,house,128,16456.0,,
GA,2012,house,129,,17076.0,
GA,2012,house,130,,13620.0,
GA,2012,house,131,,17819.0,
GA,2012,house,132,9629.0,8320.0,7.292885397515182
GA,2012,house,133,,20134.0,
GA,2012,house,134,,18000.0,
GA,2012,house,135,10614.0,3205.0,53.61458860988494
GA,2012,house,136,15138.0,4430.0,54.72199509403107
GA,2012,house,137,19320.0,,
GA,2012,house,138,7893.0,8101.0,-1.3004876828810803
GA,2012,house,139,14024.0,,
GA,2012,house,140,,15699.0,
GA,2012,house,141,,21170.0,
GA,2012,house,142,17534.0,,
GA,2012,house,143,16219.0,,
GA,2012,house,144,8000.0,13955.0,-27.12366203598269
GA,2012,house,145,8568.0,,
GA,2012,house,146,,18988.0,
GA,2012,house,147,,15355.0,
GA,2012,house,148,,13160.0,
GA,2012,house,149,,11758.0,
GA,2012,house,150,6699.0,13803.0,-34.650278021656426
GA,2012,house,151,,15207.0,
GA,2012,house,152,,18952.0,
GA,2012,house,153,17235.0,,
GA,2012,house,154,17890.0,,
GA,2012,house,155,,15174.0,
GA,2012,house,156,,14499.0,
GA,2012,house,157,,11854.0,
GA,2012,house,158,,14284.0,
GA,2012,house,159,,15829.0,
GA,2012,house,160,5358.0,11213.0,-35.33281033130167
GA,2012,house,161,,17172.0,
GA,2012,house,162,14234.0,,
GA,2012,house,163,15133.0,,
GA,2012,house,164,6511.0,9595.0,-19.148143548987957
GA,2012,house,165,17607.0,,
GA,2012,house,166,,24041.0,
GA,2012,house,167,,15909.0,
GA,2012,house,168,12536.0,,
GA,2012,house,169,,13542.0,
GA,2012,house,170,,14322.0,
GA,2012,house,171,7387.0,10695.0,-18.294436456144233
GA,2012,house,172,,11978.0,
GA,2012,house,173,8329.0,12055.0,-18.279042386185242
GA,2012,house,174,5065.0,11524.0,-38.935439146422326
GA,2012,house,175,6601.0,15782.0,-41.01773667515525
GA,2012,house,176,,13634.0,
GA,2012,house,177,10998.0,5338.0,34.64740450538687
GA,2012,house,178,,15897.0,
GA,2012,house,179,,16098.0,
GA,2012,house,180,,14671.0,
GA,2012,senate,1,,53821.0,
GA,2012,senate,2,51329.0,,
GA,2012,senate,3,,50088.0,
GA,2012,senate,4,,48118.0,
GA,2012,senate,5,31256.0,,
GA,2012,senate,6,33607.0,37628.0,-5.644697129220186
GA,2012,senate,7,15961.0,40111.0,-43.06962476815523
GA,2012,senate,8,22320.0,36479.0,-24.080341502406505
GA,2012,senate,9,28713.0,46464.0,-23.612275030927012
GA,2012,senate,10,69386.0,,
GA,2012,senate,11,,46900.0,
GA,2012,senate,12,53093.0,,
GA,2012,senate,13,,45848.0,
GA,2012,senate,14,,54871.0,
GA,2012,senate,15,40245.0,13637.0,49.381982851416055
GA,2012,senate,16,,62365.0,
GA,2012,senate,17,27929.0,47069.0,-25.520680551481373
GA,2012,senate,18,,57470.0,
GA,2012,senate,19,,41457.0,
GA,2012,senate,20,,54196.0,
GA,2012,senate,21,,66429.0,
GA,2012,senate,22,54024.0,,
GA,2012,senate,23,26922.0,39516.0,-18.956019145669647
GA,2012,senate,24,,61439.0,
GA,2012,senate,25,25542.0,44825.0,-27.403470376739097
GA,2012,senate,26,42670.0,19809.0,36.5898942044527
GA,2012,senate,27,,69154.0,
GA,2012,senate,28,,60129.0,
GA,2012,senate,29,,56560.0,
GA,2012,senate,30,,56995.0,
GA,2012,senate,31,,51950.0,
GA,2012,senate,32,,73560.0,
GA,2012,senate,33,50384.0,,
GA,2012,senate,34,54012.0,,
GA,2012,senate,35,59430.0,,
GA,2012,senate,36,56998.0,,
GA,2012,senate,37,,64107.0,
GA,2012,senate,38,61738.0,,
GA,2012,senate,39,60843.0,,
GA,2012,senate,40,,51614.0,
GA,2012,senate,41,49740.0,,
GA,2012,senate,42,52643.0,18505.0,47.98167200764603
GA,2012,senate,43,59411.0,,
GA,2012,senate,44,65135.0,,
GA,2012,senate,45,,56285.0,
GA,2012,senate,46,,53998.0,
GA,2012,senate,47,20073.0,41549.0,-34.85118951023985
GA,2012,senate,48,,45004.0,
GA,2012,senate,49,,50628.0,
GA,2012,senate,50,,53667.0,
GA,2012,senate,51,,60498.0,
GA,2012,senate,52,,46825.0,
GA,2012,senate,53,,48535.0,
GA,2012,senate,54,,39819.0,
GA,2012,senate,55,65796.0,,
GA,2012,senate,56,23438.0,48145.0,-34.51517818476454
GA,2014,house,1,2679.0,7084.0,-45.11932807538666
GA,2014,house,2,,9411.0,
GA,2014,house,3,,9984.0,
GA,2014,house,4,,6091.0,
GA,2014,house,5,,7827.0,
GA,2014,house,6,,7513.0,
GA,2014,house,7,,13257.0,
GA,2014,house,8,,16163.0,
GA,2014,house,9,,13101.0,
GA,2014,house,10,,11230.0,
GA,2014,house,11,2093.0,10952.0,-67.91107704101188
GA,2014,house,12,,9222.0,
GA,2014,house,13,3322.0,7529.0,-38.770620219334624
GA,2014,house,14,,10897.0,
GA,2014,house,15,2911.0,9181.0,-51.85246443929871
GA,2014,house,16,,9539.0,
GA,2014,house,17,,11334.0,
GA,2014,house,18,3007.0,8584.0,-48.11491674575101
GA,2014,house,19,4364.0,9415.0,-36.657232019740185
GA,2014,house,20,,14247.0,
GA,2014,house,21,,13939.0,
GA,2014,house,22,,16728.0,
GA,2014,house,23,,12285.0,
GA,2014,house,24,,15167.0,
GA,2014,house,25,,15143.0,
GA,2014,house,26,,16041.0,
GA,2014,house,27,,12685.0,
GA,2014,house,28,,10526.0,
GA,2014,house,29,,8155.0,
GA,2014,house,30,,11127.0,
GA,2014,house,31,,13033.0,
GA,2014,house,32,,11760.0,
GA,2014,house,33,,12098.0,
GA,2014,house,34,,12542.0,
GA,2014,house,35,,11323.0,
GA,2014,house,36,,17972.0,
GA,2014,house,37,6038.0,10054.0,-24.95650012428536
GA,2014,house,38,11675.0,,
GA,2014,house,39,10967.0,,
GA,2014,house,40,7525.0,11362.0,-20.315560967861494
GA,2014,house,41,7801.0,,
GA,2014,house,42,5867.0,,
GA,2014,house,43,,14502.0,
GA,2014,house,44,,13981.0,
GA,2014,house,45,,18109.0,
GA,2014,house,46,,16407.0,
GA,2014,house,47,,12705.0,
GA,2014,house,48,4981.0,9136.0,-29.432598994120564
GA,2014,house,49,,11098.0,
GA,2014,house,50,3859.0,8991.0,-39.93774319066148
GA,2014,house,51,,11646.0,
GA,2014,house,52,,12032.0,
GA,2014,house,53,9483.0,,
GA,2014,house,54,4659.0,8903.0,-31.293319569385048
GA,2014,house,55,10051.0,,
GA,2014,house,56,7520.0,,
GA,2014,house,57,12365.0,,
GA,2014,house,58,11721.0,,
GA,2014,house,59,11437.0,,
GA,2014,house,60,7585.0,,
GA,2014,house,61,10347.0,,
GA,2014,house,62,12320.0,,
GA,2014,house,63,14039.0,,
GA,2014,house,64,12913.0,,
GA,2014,house,65,10553.0,,
GA,2014,house,66,8304.0,7418.0,5.6354153415595984
GA,2014,house,67,,11866.0,
GA,2014,house,68,,11536.0,
GA,2014,house,69,,11843.0,
GA,2014,house,70,,12400.0,
GA,2014,house,71,,14601.0,
GA,2014,house,72,,17695.0,
GA,2014,house,73,5290.0,10138.0,-31.423386051335235
GA,2014,house,74,10085.0,,
GA,2014,house,75,12283.0,,
GA,2014,house,76,13989.0,,
GA,2014,house,77,10704.0,,
GA,2014,house,78,11272.0,3802.0,49.55552607138119
GA,2014,house,79,,12145.0,
GA,2014,house,80,,10845.0,
GA,2014,house,81,4873.0,4261.0,6.700240858331509
GA,2014,house,82,9039.0,,
GA,2014,house,83,11975.0,1970.0,71.74614557188957
GA,2014,house,84,13129.0,,
GA,2014,house,85,10760.0,,
GA,2014,house,86,11203.0,,
GA,2014,house,87,12381.0,,
GA,2014,house,88,10773.0,,
GA,2014,house,89,13780.0,,
GA,2014,house,90,13506.0,,
GA,2014,house,91,13306.0,,
GA,2014,house,92,9729.0,,
GA,2014,house,93,13865.0,,
GA,2014,house,94,12379.0,3324.0,57.66414061007451
GA,2014,house,95,5819.0,9615.0,-24.59504988985357
GA,2014,house,96,5642.0,,
GA,2014,house,97,,12350.0,
GA,2014,house,98,,11412.0,
GA,2014,house,99,3767.0,,
GA,2014,house,100,5557.0,,
GA,2014,house,101,,9240.0,
GA,2014,house,102,,10078.0,
GA,2014,house,103,,14698.0,
GA,2014,house,104,,13133.0,
GA,2014,house,105,6708.0,7497.0,-5.554382259767688
GA,2014,house,106,,12003.0,
GA,2014,house,107,,10316.0,
GA,2014,house,108,,11702.0,
GA,2014,house,109,,14096.0,
GA,2014,house,110,5442.0,9063.0,-24.963805584281282
GA,2014,house,111,8416.0,9540.0,-6.259746045889953
GA,2014,house,112,5029.0,12533.0,-42.72861860835896
GA,2014,house,113,11420.0,,
GA,2014,house,114,4026.0,12325.0,-50.755305485903
GA,2014,house,115,,13320.0,
GA,2014,house,116,,10887.0,
GA,2014,house,117,,11008.0,
GA,2014,house,118,8953.0,,
GA,2014,house,119,,11476.0,
GA,2014,house,120,,13863.0,
GA,2014,house,121,,12014.0,
GA,2014,house,122,,16819.0,
GA,2014,house,123,,15309.0,
