state,year,office,observation_rows,precincts,districts,dem_rows,rep_rows
AR,2008,USH,3337,1469,3,1073,397
AR,2008,USP,14723,2004,0,2081,2032
AR,2008,USS,4119,1998,0,2016,0
AR,2008,house,4313,842,28,1659,1510
AR,2008,senate,88,43,1,45,43
GA,2012,USH,5063,2742,14,2196,2867
GA,2012,USP,8457,2742,0,2819,2819
GA,2012,house,3713,2742,180,1445,2186
GA,2012,senate,3624,2742,56,1423,2201
GA,2014,GOV,8190,2662,0,2730,2730
GA,2014,USH,4252,2662,14,2068,2184
GA,2014,USS,8190,2662,0,2730,2730
GA,2014,house,3521,2662,180,1403,2084
GA,2014,senate,3541,2662,56,1512,2029
GA,2016,USH,4494,2634,14,1946,2548
GA,2016,USP,8079,2634,0,2693,2693
GA,2016,USS,8079,2634,0,2693,2693
GA,2016,house,3441,2634,180,1312,2084
GA,2016,senate,3394,2634,56,1336,1984
MO,2000,GOV,34356,3392,0,4908,4908
MO,2000,USH,22942,3395,9,4915,4915
MO,2000,USP,34412,3400,0,4916,4916
MO,2000,USS,34488,3395,0,4911,4911
MO,2000,house,8318,3381,163,3948,3493
MO,2000,senate,4493,1631,17,2037,1877
MO,2002,USH,14801,3498,9,4643,4643
MO,2002,USS,18520,3498,0,4630,4630
MO,2002,house,9194,3473,163,4445,3793
MO,2002,senate,4127,1844,17,2026,1730
MO,2004,GOV,22160,3902,0,4432,4432
MO,2004,USH,17726,3890,9,4446,4446
MO,2004,USP,22335,3918,0,4467,4467
MO,2004,USS,17664,3892,0,4416,4416
MO,2004,house,8717,3860,163,3940,4009
MO,2004,senate,5038,1912,17,2184,1775
MO,2006,USH,13971,3680,9,3821,3821
MO,2006,USS,22812,3680,0,3802,3802
MO,2006,house,7734,3675,163,3886,3446
MO,2006,senate,3647,1874,17,1671,1725
MO,2008,GOV,18145,3495,0,3572,3573
MO,2008,USH,11249,3487,9,3589,3216
MO,2008,USP,20521,3502,0,3578,3580
MO,2008,house,7000,3470,163,3429,3004
MO,2008,senate,3440,1740,17,1654,1397
MO,2010,USH,14270,3211,9,3129,3615
MO,2010,USS,34900,3210,0,3490,3490
MO,2010,house,8843,3196,163,3415,4285
MO,2010,senate,3208,1654,17,1132,1525
MO,2012,GOV,17224,3470,0,3520,3520
MO,2012,USH,12818,3452,8,3646,3646
MO,2012,USP,13942,3463,0,3420,3508
MO,2012,USS,30679,3492,0,3527,3527
MO,2012,house,6536,3373,163,2812,3464
MO,2012,senate,2743,1752,17,1260,1377
MO,2014,USH,11241,3145,8,3375,3373
MO,2014,house,6108,3126,163,2433,3301
MO,2014,senate,2589,1579,17,845,1581
MO,2016,GOV,15691,3046,0,3213,3221
MO,2016,USH,10901,3044,8,3237,2775
MO,2016,USP,15880,3048,0,3217,3228
MO,2016,USS,16001,3047,0,3214,3225
MO,2016,house,5799,3042,163,2072,3050
MO,2016,senate,3514,1688,18,1372,1360
SC,2006,GOV,5025,1913,0,2201,2194
