model_run_id,state_code,cycle,chamber,races,mean_direct_overperformance,mean_war_target,candidate_repeat_races,model_source_fallbacks
WAR-POST2016-3E87657081BBBCB16754,AL,2018,lower,49,1.581084993258787,-0.20621231794591463,0,0
WAR-POST2016-3E87657081BBBCB16754,AL,2018,upper,15,3.9426982953951324,3.552713678800501e-16,0,0
WAR-POST2016-3E87657081BBBCB16754,AL,2022,lower,25,0.8924217399411013,1.0658141036401502e-16,0,0
WAR-POST2016-3E87657081BBBCB16754,AL,2022,upper,8,1.5479235132362725,0.0,0,0
WAR-POST2016-3E87657081BBBCB16754,AR,2018,lower,40,15.574341611586064,1.1990408665951691e-15,9,0
WAR-POST2016-3E87657081BBBCB16754,AR,2018,upper,7,10.988138907258124,1.7763568394002505e-15,3,0
WAR-POST2016-3E87657081BBBCB16754,AR,2020,lower,38,0.6925003045604358,-3.739698609263685e-16,25,0
WAR-POST2016-3E87657081BBBCB16754,AR,2020,upper,8,1.52197659562548,-2.220446049250313e-16,2,0
WAR-POST2016-3E87657081BBBCB16754,AR,2022,lower,35,4.287801037765823,-2.0301221021717148e-16,25,0
WAR-POST2016-3E87657081BBBCB16754,AR,2022,upper,13,5.023409282973857,-1.3664283380001927e-16,6,0
WAR-POST2016-3E87657081BBBCB16754,AR,2024,lower,49,-2.449765670932286,1.8126090197961738e-17,26,0
WAR-POST2016-3E87657081BBBCB16754,AR,2024,upper,5,0.5395402030056612,1.7763568394002506e-16,3,0
WAR-POST2016-3E87657081BBBCB16754,FL,2018,lower,77,-3.3389225715983266,2.9990440145718514e-16,55,2
WAR-POST2016-3E87657081BBBCB16754,FL,2018,upper,17,-2.996001639515177,-2.873518416676876e-16,9,1
WAR-POST2016-3E87657081BBBCB16754,FL,2020,lower,95,-3.7820951645544505,-5.095339355121771e-16,78,0
WAR-POST2016-3E87657081BBBCB16754,FL,2020,upper,18,-2.752729319417572,-1.4802973661668753e-16,13,0
WAR-POST2016-3E87657081BBBCB16754,FL,2022,lower,67,-0.7744774678337593,6.628197161941232e-17,53,0
