model_run_id,penalty,evaluation_cycle,scope,races,cycles,mae,zero_baseline_mae,rmse,bias
WAR-POST2016-3E87657081BBBCB16754,1.0,all,all,2633,5,5.135779716034324,5.385725913631757,8.775702986309886,0.009755836797525064
WAR-POST2016-3E87657081BBBCB16754,1.0,all,seen_candidate,1239,4,4.213596356575636,4.744757242995362,6.768376447177472,-0.46753374691023303
WAR-POST2016-3E87657081BBBCB16754,1.0,2019,all,142,1,16.263784022407012,16.263784022407012,21.300712279987398,-2.0015288331270428e-16
WAR-POST2016-3E87657081BBBCB16754,1.0,2020,all,870,1,4.995265605000545,5.148646448058986,7.508765680325344,0.009970959457096413
WAR-POST2016-3E87657081BBBCB16754,1.0,2020,seen_candidate,426,1,4.895308256321996,5.208550823131491,7.6667540418717035,-0.3880496200516673
WAR-POST2016-3E87657081BBBCB16754,1.0,2022,all,761,1,3.269567247846806,3.3780106038472257,5.2926978760995205,-0.0321141340245925
WAR-POST2016-3E87657081BBBCB16754,1.0,2022,seen_candidate,346,1,3.328922130718761,3.5674348298988736,5.249119431994221,-0.08084418568630042
WAR-POST2016-3E87657081BBBCB16754,1.0,2023,all,90,1,17.84667414368975,19.087316007635927,23.064181583711672,0.13856695975581998
WAR-POST2016-3E87657081BBBCB16754,1.0,2023,seen_candidate,28,1,16.73124792291435,20.719025342741354,21.242641723893858,-12.129711939377541
WAR-POST2016-3E87657081BBBCB16754,1.0,2024,all,770,1,3.601075631483908,4.0302754277718575,5.109346388335683,0.03763664048688401
WAR-POST2016-3E87657081BBBCB16754,1.0,2024,seen_candidate,439,1,3.4509397939265356,4.203750370559158,4.664459758146179,-0.10560626817707812
WAR-POST2016-3E87657081BBBCB16754,3.0,all,all,2633,5,5.151813687440812,5.385725913631757,8.787444123194422,0.0067909575643709304
WAR-POST2016-3E87657081BBBCB16754,3.0,all,seen_candidate,1239,4,4.2476701634467275,4.744757242995362,6.800671994581056,-0.4738344144008665
