district,white_nh_noncollege,white_nh_college,black_noncollege,black_college,other,chamber,cycle
1,21460.979010033836,9244.87606968107,1560.0810985814733,628.042570040095,2071.9355967813417,house,2026
2,22441.161685073665,8941.02765731016,1431.9690886963015,272.50390094188856,2687.0536353448283,house,2026
3,18306.176285207108,5984.865557852429,5532.588743682142,1254.0908615041349,2362.0863305938515,house,2026
4,12537.626990381397,12119.884689554568,3201.141885577733,1685.116044900896,4454.67434746214,house,2026
5,20499.910852014495,9539.811948918245,4508.169170316769,889.010276217616,3803.26442199788,house,2026
6,17397.584652261605,9458.488933467857,4558.277094619147,2152.9244112551437,3251.5783437195764,house,2026
7,20574.568234450577,4305.19363652244,4335.725937947022,582.5948267897185,3640.3441218325274,house,2026
8,16818.412939016474,4638.753120578181,5714.645522347729,684.7128261547952,5013.480013922417,house,2026
9,21439.903146906527,7250.979397611817,808.1229084969684,54.22032026217483,2032.9724639770866,house,2026
10,10503.786774776854,12524.03921637877,3371.786558470096,3637.423515616098,5789.912674339529,house,2026
11,25499.06547945108,5186.444631418333,163.56018562038128,10.000000000000002,3569.536305326525,house,2026
12,24057.245487751046,6891.362325906283,448.9623712603407,16.0,2012.855678108201,house,2026
13,23885.993246121783,5394.0171168315455,1663.913278269003,274.31550317323,1554.6292125351426,house,2026
14,27425.30887041971,4777.0083607591505,695.2600503671368,32.77270350136306,1321.752601373285,house,2026
15,11121.292090496165,11073.96317443303,5250.047862632334,4486.442685111134,3202.4766806871394,house,2026
16,23606.697418539952,5713.150509213001,2230.001206659764,240.92203750691695,1563.4062833078208,house,2026
17,26298.35846770698,3849.06468184242,1779.9999999990873,131.0,1749.2362334225666,house,2026
18,21149.35134092606,4520.973564404447,1293.7271891228427,210.31796160905478,4110.206511261735,house,2026
19,9070.076857459106,6613.321340766669,13053.864074740992,4464.540779942277,3692.725174230398,house,2026
20,11956.940552939175,20426.202238166406,602.3098786310127,663.4747540098796,3877.9722237485885,house,2026
21,15864.378540067373,13790.62757923845,2957.7315410706574,2356.6731047611115,4305.358411806732,house,2026
22,17915.45027620481,10913.68618642813,1817.4183433230949,890.3543400953668,2642.686928520727,house,2026
23,27233.61316685754,5226.672020246989,930.0,119.99999999999999,2653.0615830581255,house,2026
24,24134.549433872435,5034.007691521748,400.1887774749088,119.05557287921538,4029.0480967939898,house,2026
25,9373.00121385173,14603.160563589452,3247.5440873696866,3867.1911191610166,6120.352734207803,house,2026
26,18894.513481827016,4664.809619108493,824.3957198578305,97.54266407329023,6084.823037224654,house,2026
27,23340.486518172987,8027.190380891508,626.6042801421695,78.45733592670977,2942.176962775346,house,2026
28,18371.717750700882,3880.2878148886057,7993.511624102301,941.990096379984,2820.0629307176346,house,2026
29,25874.447094585128,5837.779997660668,1313.9774583351077,261.3074255903244,1458.4189701674918,house,2026
30,23740.00729032972,5373.638851038748,1075.7437722479372,176.05549616412839,1460.556130089241,house,2026
31,20333.05770851633,5750.008175321446,6255.434288439608,655.6701845882154,1355.810691864958,house,2026
32,12212.00907627346,2012.783412366137,12680.191406123751,1378.0703436890717,2076.103080592862,house,2026
33,18389.232612106654,3636.682049423038,7951.8102631243255,832.9931640738669,1708.7230336959908,house,2026
34,23087.19508737498,4840.593873600748,372.3871004392657,123.0,3115.898136342242,house,2026
35,21283.39074478197,4408.02599106256,4307.074650282662,987.3659759949961,2917.5325938806145,house,2026
36,21083.025852866904,7763.484623463444,4802.771058469135,1071.2669403915504,2085.3841816396953,house,2026
37,17183.079181261244,7764.487533599738,7018.403634959199,879.7626963176359,2422.031253628849,house,2026
38,18760.437017373995,4494.809477441507,7580.649944288924,1227.6085589328586,2211.8816676351125,house,2026
39,24377.450566127565,4234.992308478252,988.8112225250912,60.94442712078462,4377.951903206011,house,2026
40,20215.67193764971,6205.171701187802,2604.418763682447,717.7536050688133,1640.6422950297804,house,2026
41,19027.313390433497,7988.541739056214,3969.32126146426,2014.8150573718526,3021.5062471577435,house,2026
42,24123.894111155332,5522.567627225636,2664.5828959185314,554.8181548726371,2402.621857022948,house,2026
43,8462.282684131118,19650.345333166824,1981.9588827790515,1881.624817532322,3987.9075023392834,house,2026
44,14661.781576783776,8330.65051331579,5587.221156212913,2413.4618706112396,2763.8439045315968,house,2026
45,14452.860506697822,12539.583145838295,2055.5179912926014,1479.8447048742603,2912.1581026788876,house,2026
46,6166.652990272205,20403.669756652776,1523.1981877084463,1408.8974535071782,3014.898670586189,house,2026
47,9591.196507468023,13891.506887287527,3976.0914725285324,1718.7017513110727,3683.6471727163657,house,2026
48,6433.374338758706,18218.330528171686,1265.2973369022413,1003.0843057496215,2160.386509439593,house,2026
49,17997.445810625013,7004.706680976802,2998.260414701697,1446.2562228796312,4272.245181545456,house,2026
50,22230.601402773125,7151.84931644828,2896.7585333004354,795.2601874848699,2350.6144496746424,house,2026
51,19041.65069512436,6278.704558443389,2790.699215011865,801.0851616328777,1755.742856780535,house,2026
52,2866.3292031497654,5445.727836214471,16111.604447503683,4419.722258602892,2897.2531345092057,house,2026
53,7088.077481571667,4281.436279283921,11749.896877006333,3710.808386738732,4529.334483194712,house,2026
54,4935.390021912407,8627.611674868742,14907.592248312305,2485.811911808039,2404.077340949215,house,2026
55,3606.5637483474593,6604.823336952591,13900.497505685751,3364.6085850202876,2823.526646685871,house,2026
56,4262.878778317629,4465.859479514977,14850.567943330041,4057.8277488689146,3429.743231561004,house,2026
57,8328.540283762883,1640.5580438443144,15612.930390823674,3936.8019301431054,2117.688178787497,house,2026
58,6321.842329460189,2745.4837156633616,14601.51851345691,3831.6690750237785,1684.0194208280186,house,2026
59,5234.254688104792,1078.4863257123134,16023.308400302396,3695.904847075564,2194.453484909666,house,2026
60,7372.5595914160895,2108.3594002560217,17182.434150790243,4400.805264348292,2013.048811621723,house,2026
61,16192.49104744679,8009.009845252496,4730.781055009762,610.425328599731,1572.3654852786608,house,2026
62,18056.511434985234,5061.353808807679,5011.999549439684,1780.400431953739,2540.904159218728,house,2026
63,5856.922624916826,10059.174165790473,3209.0331978418735,839.9385913690483,3335.3487822862403,house,2026
64,22495.324664392592,7201.416483162134,4105.874736380527,448.3276360200191,3662.4718993265537,house,2026
65,17060.51105796278,3989.8846835135914,8301.40705559187,1023.5979497637048,1952.1054950210657,house,2026
66,21403.494509685435,5285.490413820812,6339.314371793791,786.0377226290836,2658.1238803134115,house,2026
67,6712.010509621145,2296.08284374907,17060.009898544748,2740.304911352971,735.9999999973741,house,2026
68,12388.090820341691,2572.101439312739,15196.68296789883,1260.7200226779769,933.4385717143913,house,2026
69,11043.993343271917,3718.4651327187294,15573.26500217356,1704.0729166187944,1560.1305244676498,house,2026
70,6044.792874260917,4929.508363078579,14585.151059852327,2966.412181733337,2587.513334290201,house,2026
71,9451.284084598381,3564.1039005222774,13497.08565904147,2218.4548299336116,2428.861980282143,house,2026
72,10032.433717025888,3184.716045029378,16608.76050157581,3033.8928935875415,1631.1192717179974,house,2026
73,13453.940548477636,11017.706095661157,2600.1685744441247,1880.216034002506,4638.60030973102,house,2026
74,6501.150726386242,4281.279221238282,13229.28497851438,4396.8736185714,1774.5881566927007,house,2026
75,10460.581522995397,11209.081515232772,4933.176195656256,3168.273855353634,4601.555361846768,house,2026
76,3196.492364860439,3485.5353738899275,14534.976212883459,6583.986921629735,2508.613796873834,house,2026
77,4538.070266915678,5223.488325402137,14293.379960007323,2920.7317013171964,2096.9194758274834,house,2026
78,5724.350945068882,3429.464028868458,14260.072719369824,4592.711650491776,2314.6382581977946,house,2026
79,5759.610443964165,14225.241968218641,2856.255047290633,1339.941145945423,5439.171533843899,house,2026
80,17385.694746745587,6310.017789686388,5835.518240761752,2039.8129877231408,2979.8954964318114,house,2026
81,16741.230810294368,7071.286509242707,6673.234349829903,450.23678776606005,2337.117136646259,house,2026
82,3542.375556769605,4187.462784237438,10557.745700905409,2450.083295937768,2482.3319408787406,house,2026
83,10024.502000412127,4675.573601278564,14435.02614382394,2770.4640136569587,2852.6477317971166,house,2026
84,11563.07024317891,2318.120336295017,15602.16693814024,1590.0905137201546,2971.9232391382116,house,2026
85,12984.38196316889,4586.665256277803,11672.079599634972,1272.8257064129455,1892.6791696108812,house,2026
86,20026.10131043741,4870.962942254426,5412.70542323065,862.8468488224082,2508.950499664831,house,2026
87,22103.73450931186,6475.210926976846,2645.62208686887,483.2545051422174,2684.0646972115214,house,2026
88,14384.62391402084,8223.150645910948,4094.1464045292155,2435.2150965122673,2864.481338687925,house,2026
89,11857.847251904932,5563.074508445799,6346.173411404622,1285.2007331603531,2613.1917225069915,house,2026
90,16793.357227663066,3792.2058143647814,8909.460408447776,979.4397591914882,1405.8370047001679,house,2026
91,16600.75108242199,5827.7708532829165,4687.86881246798,902.913767683857,4569.39802824504,house,2026
92,22240.008287202843,4562.766037354337,3518.1852946248623,347.1036391072193,1322.0985760828214,house,2026
93,16635.934965176904,5539.086366045127,5500.419478860886,1129.8722064620758,2970.113911005775,house,2026
94,17518.75783012146,16073.813770326293,1533.948887674274,239.86840053372947,2803.4580664449336,house,2026
95,23839.30622719578,12673.543959287463,851.6964996444824,80.50514238725715,3885.8976376976584,house,2026
96,14888.601573098407,13122.643320762429,3182.5935748793977,864.6406027125468,3321.4868360307487,house,2026
97,8187.38054746083,5773.470394202435,13436.847771990098,1778.6310449005812,1762.2744277865263,house,2026
98,10352.189492206006,3075.472844007059,15472.71144088814,2696.0400511819366,1303.4783768291782,house,2026
99,9012.666696940723,3516.1616620882533,13554.184165828216,3826.588070364729,1664.5543544513305,house,2026
100,16541.791790319177,7554.709631121901,4014.4831966004554,1645.7711864216055,2856.4739748985926,house,2026
101,9695.530680887585,9095.847263947231,4444.964016557166,1727.3032326902267,2912.0755380507194,house,2026
102,22050.522473437093,4256.836156132005,4084.7692056325036,842.421537984022,2639.3541130941067,house,2026
103,7332.324966456465,3605.8015645783166,14259.31037347779,2633.309885955491,2528.290478543868,house,2026
104,14235.360822303057,7018.808146540421,5464.582629722684,2420.516669810639,4095.547479361542,house,2026
105,21220.25045068416,5236.303061015546,3379.397332935172,468.42524500456744,2945.5872829041905,house,2026
1,63357.59762460156,27009.762027860823,6192.1313143113,1826.782777551856,7309.160669834584,senate,2026
2,29612.99304017379,36546.7692072629,16714.678563413632,11430.41374847279,14129.742515779328,senate,2026
3,52910.16260523214,24486.362364301425,12133.231933392126,4103.980739463624,12964.479060812797,senate,2026
4,76474.0,16492.0,1436.0,103.0,6653.0,senate,2026
5,68447.30988192938,16708.972246670044,5526.873711185525,697.5963880756732,3810.8641029112423,senate,2026
6,63414.03704529872,15675.240520585006,11205.884825270852,1912.6544004050847,11008.92708360055,senate,2026
7,36468.497466227316,36741.97069027124,18556.171738203044,6489.551061482988,11712.15400158352,senate,2026
8,66954.67567601622,19972.502942182247,4604.428680031124,1784.9088145679916,10280.078908065048,senate,2026
9,60618.92790096436,22726.461593879663,3097.2003074094737,886.7084580556636,14370.291377900212,senate,2026
10,71393.82620032068,15407.846113791611,10121.054822359722,1269.0,8576.835031060697,senate,2026
11,63020.470141170816,16882.971254807147,16260.241765882705,3425.8351584576185,7006.345851516742,senate,2026
12,57879.77060415991,16736.03906252108,18196.048032994055,2850.62948524355,6944.087848756886,senate,2026
13,59143.5262194768,17003.25495995217,19621.112492584256,3746.208626602866,7282.506272464555,senate,2026
14,47307.94148125175,24340.572683893068,9197.865249655622,4610.8324150420085,10586.852071972397,senate,2026
15,32435.12535599649,45606.901333952614,5389.9093148619695,3681.5298368773792,8102.383783807058,senate,2026
16,24294.458532211098,48280.82856713191,8189.228153818986,5593.549268303993,10528.467817789082,senate,2026
17,60485.08040454681,18913.813034610353,5900.206461322122,2094.158214095628,6712.551322972998,senate,2026
18,11448.293148900068,23838.679157986793,40180.92084879265,10514.987761608032,8968.330509739417,senate,2026
19,25122.275249539445,6290.741879845132,46207.23144064125,11870.358079738971,6501.103724523463,senate,2026
20,19249.055157983912,7684.449211217588,44011.60795148407,12073.892876542372,6732.404523056732,senate,2026
21,38408.45110318931,21293.108876826504,15713.160209028034,3062.5286826278325,8725.714549561031,senate,2026
22,59025.780704086734,14656.46102791819,15738.561898627036,1957.1389759428873,7501.604371708323,senate,2026
23,32214.0,8229.0,46241.0,5190.0,2872.0,senate,2026
24,24742.52154360858,11231.921730640506,44965.88626564747,8819.6077599217,5480.917861694044,senate,2026
25,40457.212582860884,24299.36222292744,20303.782717443315,8899.8913796318,8909.009676154426,senate,2026
26,14329.18099883704,10331.248972998676,50890.875944483385,14095.32579445661,5920.938385278584,senate,2026
27,32010.34139990264,30765.031730528695,17042.6111457768,3801.027565045751,10967.084183978965,senate,2026
28,32877.75552564941,9109.111794843264,43660.1135265912,6230.9652962703185,7246.611355430048,senate,2026
29,58413.87839606639,16857.215498319507,14117.684469610931,2578.4295250930813,8805.529257069646,senate,2026
30,49999.877005734015,17362.65770157959,17721.913146550993,4057.3578322591707,7252.081502579453,senate,2026
31,50712.75770815045,16182.202618613004,13987.944967253397,2575.288054105642,8050.546750106496,senate,2026
32,58040.5534493475,40911.96013537483,6339.308023045468,1106.4631396057462,10471.043632817828,senate,2026
33,18704.99871842796,14016.990632796207,46844.68193591602,7794.912845281436,5398.247868707134,senate,2026
34,45233.87898938875,18009.149959162933,16333.412217184541,5716.355332372022,7445.996806761687,senate,2026
35,48843.788138749056,18043.438244747842,12456.035925226935,4302.129706797909,9527.107320005029,senate,2026
