acs_vintage,block_group_geoid,tract_geoid,method,white_nh_college,white_nh_noncollege,black_college,black_noncollege,other_college,other_noncollege,block_group_education_total_college,block_group_education_total_noncollege,modeled_adult25_total,constraint_error
2022,010010201001,01001020100,tract_joint_controls_bg_marginals_ipf,74.45481764071445,241.6996443793606,1.018258175515254,12.136912657258776,40.5269241837703,53.16344296338062,116.0,307.0,422.99999999999994,-5.684341886080802e-14
2022,010010201002,01001020100,tract_joint_controls_bg_marginals_ipf,133.54518235928555,456.3003556206394,12.981741824484747,162.8630873427412,32.4730758162297,44.83655703661939,179.0,664.0,843.0,0.0
2022,010010202001,01001020200,tract_joint_controls_bg_marginals_ipf,45.71317895382539,103.70144429385826,47.12222711981303,215.58445148401762,1.164593926361576,14.71410422212411,94.0,334.0,428.0,0.0
2022,010010202002,01001020200,tract_joint_controls_bg_marginals_ipf,99.28682104617462,323.2985557061417,77.87777288018697,511.4155485159824,1.835406073638424,33.285895777875886,179.0,868.0,1047.0,0.0
2022,010010203001,01001020300,tract_joint_controls_bg_marginals_ipf,232.29501581200367,1177.9390350429353,9.122565483474759,374.57897848441036,33.58241870452158,35.48198647265433,275.0,1588.0,1863.0,0.0
2022,010010203002,01001020300,tract_joint_controls_bg_marginals_ipf,69.70498418799633,210.0609649570647,5.87743451652524,143.42102151558964,2.417581295478423,1.5180135273456732,78.0,355.0,433.0,0.0
2022,010010204001,01001020400,tract_joint_controls_bg_marginals_ipf,115.60576486859587,296.5577193090953,1.451604632809185e-10,7.022255828703578e-10,0.3942351312589615,3.442280690202444,116.0,300.0,416.0,0.0
2022,010010204002,01001020400,tract_joint_controls_bg_marginals_ipf,535.0639702461763,784.033708876261,39.638928995535096,109.53413911474632,4.297100758288603,21.432152008992663,579.0,915.0,1494.0,0.0
2022,010010204003,01001020400,tract_joint_controls_bg_marginals_ipf,245.06384294449097,284.41150719802465,46.36107100421176,101.46586088351516,3.5750860512972795,14.122631918460144,295.0,400.0,694.9999999999999,-1.1368683772161603e-13
2022,010010204004,01001020400,tract_joint_controls_bg_marginals_ipf,63.266421940736876,321.99706461661896,1.0796976662582077e-10,1.0362853578132554e-09,4.733578059155158,82.00293538234475,68.0,404.0,471.99999999999994,-5.684341886080802e-14
