chamber,district,voted_all,reg_all,voted_gender_male,reg_gender_male,voted_gender_female,reg_gender_female,voted_gender_unknown,reg_gender_unknown,voted_age_18_19,reg_age_18_19,voted_age_20_24,reg_age_20_24,voted_age_25_29,reg_age_25_29,voted_age_30_34,reg_age_30_34,voted_age_35_44,reg_age_35_44,voted_age_45_54,reg_age_45_54,voted_age_55_64,reg_age_55_64,voted_age_65_74,reg_age_65_74,voted_age_75_84,reg_age_75_84,voted_age_85over,reg_age_85over,voted_party_democratic,reg_party_democratic,voted_party_republican,reg_party_republican,voted_party_ind_npp,reg_party_ind_npp,voted_party_others,reg_party_others,voted_eur,reg_eur,voted_hisp,reg_hisp,voted_aa,reg_aa,voted_esa,reg_esa,voted_oth,reg_oth,voted_unk,reg_unk,voted_self_afam,reg_self_afam,voted_eur_party_democratic,reg_eur_party_democratic,voted_eur_party_republican,reg_eur_party_republican,voted_eur_party_ind_npp,reg_eur_party_ind_npp,voted_eur_party_others,reg_eur_party_others,voted_hisp_party_democratic,reg_hisp_party_democratic,voted_hisp_party_republican,reg_hisp_party_republican,voted_hisp_party_ind_npp,reg_hisp_party_ind_npp,voted_hisp_party_others,reg_hisp_party_others,voted_aa_party_democratic,reg_aa_party_democratic,voted_aa_party_republican,reg_aa_party_republican,voted_aa_party_ind_npp,reg_aa_party_ind_npp,voted_aa_party_others,reg_aa_party_others,voted_esa_party_democratic,reg_esa_party_democratic,voted_esa_party_republican,reg_esa_party_republican,voted_esa_party_ind_npp,reg_esa_party_ind_npp,voted_esa_party_others,reg_esa_party_others,voted_oth_party_democratic,reg_oth_party_democratic,voted_oth_party_republican,reg_oth_party_republican,voted_oth_party_ind_npp,reg_oth_party_ind_npp,voted_oth_party_others,reg_oth_party_others,voted_unk_party_democratic,reg_unk_party_democratic,voted_unk_party_republican,reg_unk_party_republican,voted_unk_party_ind_npp,reg_unk_party_ind_npp,voted_unk_party_others,reg_unk_party_others,voted_self_afam_party_democratic,reg_self_afam_party_democratic,voted_self_afam_party_republican,reg_self_afam_party_republican,voted_self_afam_party_ind_npp,reg_self_afam_party_ind_npp,voted_self_afam_party_others,reg_self_afam_party_others,l2_general_turnout_rate,cycle,status
house,39,19861,32101,9367,15431,10494,16669,0,643,147,261,1096,2431,1225,2679,1157,2330,2343,4185,2985,4729,4007,5747,3972,5385,2341,3348,588,1004,2088,4600,13933,17831,3840,9670,0,0,17399,27132,506,1511,440,1009,71,131,134,215,1311,2745,440,1004,1118,1957,12708,16239,3573,8936,0,0,403,1374,103,137,0,0,0,0,390,917,50,90,0,2,0,0,26,72,45,59,0,0,0,0,45,109,88,105,1,1,0,0,106,171,939,1201,266,731,0,0,390,913,50,89,0,2,0,0,0.6187034671817078,2026,experimental_L2_derived_not_forecast_promoted
house,40,20888,32179,9561,15084,11326,17091,1,722,181,284,1408,2528,1268,2828,1298,2695,2951,5070,3344,4959,3883,5281,3779,4774,2251,2863,524,887,3168,6286,16812,23776,908,2117,0,0,17115,25161,395,806,1699,3552,119,267,94,197,1466,2914,1680,3478,1158,1814,15319,21835,638,1512,0,0,233,612,161,190,1,4,0,0,1538,3327,153,216,8,9,0,0,66,199,53,68,0,0,0,0,33,118,60,77,1,2,0,0,140,216,1066,1390,260,590,0,0,1523,3259,149,210,8,9,0,0,0.6491189906460735,2026,experimental_L2_derived_not_forecast_promoted
house,41,25010,36920,10982,17030,14027,19889,1,1065,246,375,1372,2704,1717,3256,1854,3275,4145,6340,4302,6086,4434,5951,4137,5204,2269,2892,533,831,5958,9709,18124,25295,928,1916,0,0,18569,26583,511,1050,4202,6697,141,238,118,211,1469,3205,4175,6639,1305,1856,16634,23434,630,1293,0,0,369,882,142,167,0,1,0,0,4012,6465,184,222,6,10,0,0,81,168,60,70,0,0,0,0,54,134,62,75,2,2,0,0,137,204,1042,1327,290,610,0,0,3987,6413,182,216,6,10,0,0,0.6774106175514626,2026,experimental_L2_derived_not_forecast_promoted
house,42,22971,35100,10481,16500,12489,18598,1,492,232,358,1367,2640,1453,3021,1506,2856,3389,5615,3799,5679,4412,5945,3991,5111,2301,2996,518,867,2843,5705,19139,27016,989,2379,0,0,19012,27945,397,915,1907,3782,94,162,73,119,1488,2667,1900,3764,780,1349,17515,24886,717,1710,0,0,227,656,141,190,29,69,0,0,1700,3448,206,317,1,17,0,0,28,72,62,79,4,11,0,0,27,54,41,53,5,12,0,0,81,126,1174,1491,233,560,0,0,1695,3435,204,314,1,15,0,0,0.6544444444444445,2026,experimental_L2_derived_not_forecast_promoted
house,43,27309,38309,12285,17777,15023,20530,1,446,284,419,1576,2902,1606,3184,1621,2941,3881,5795,4450,5862,4784,5970,4951,5883,3229,3945,921,1389,5804,9105,20677,27589,828,1615,0,0,21234,28821,590,972,2186,3506,540,1062,405,715,2354,3677,2170,3469,2362,3163,18413,24737,459,921,0,0,394,739,196,233,0,0,0,0,2055,3341,128,161,3,4,0,0,385,856,155,206,0,0,0,0,267,538,137,175,1,2,0,0,341,468,1648,2077,365,688,0,0,2042,3309,125,156,3,4,0,0,0.7128612075491398,2026,experimental_L2_derived_not_forecast_promoted
house,44,25249,36066,10878,16431,14371,19635,0,569,283,459,1486,2685,1464,2900,1745,3036,4235,6381,4395,5952,4436,5594,4188,5096,2369,2992,646,968,8390,12975,16227,21847,632,1244,0,0,16602,22832,414,813,6385,9679,208,432,144,241,1496,2638,6345,9600,1543,2143,14696,19941,363,748,0,0,308,685,106,127,0,1,0,0,6179,9416,206,261,0,2,0,0,140,339,68,93,0,0,0,0,80,166,63,73,1,2,0,0,140,226,1088,1352,268,491,0,0,6141,9343,204,257,0,0,0,0,0.7000776354461266,2026,experimental_L2_derived_not_forecast_promoted
house,45,25325,36399,11429,17020,13895,19378,1,617,276,404,1376,2603,1544,2968,1553,2820,3696,5690,4248,5856,4698,6066,4387,5411,2847,3499,699,1072,5687,8888,18826,25867,812,1644,0,0,19153,26847,573,1010,3233,4932,250,507,217,413,1899,3306,3210,4892,1751,2401,16892,23437,510,1009,0,0,359,760,212,247,2,3,0,0,3060,4714,172,216,1,2,0,0,149,379,101,128,0,0,0,0,133,303,84,110,0,0,0,0,235,331,1365,1729,299,630,0,0,3040,4677,169,213,1,2,0,0,0.6957608725514437,2026,experimental_L2_derived_not_forecast_promoted
house,46,25998,35382,11827,16471,14171,18911,0,253,296,425,1482,2803,1637,3071,1706,2873,4998,6796,4551,5715,4229,5096,3831,4476,2541,3040,723,1081,6856,9668,18295,24231,847,1483,0,0,20838,27455,469,734,1505,2391,442,771,384,823,2360,3461,1490,2360,3908,4769,16384,21765,546,921,0,0,320,546,148,186,1,2,0,0,1435,2303,70,88,0,0,0,0,300,593,142,178,0,0,0,0,263,654,121,169,0,0,0,0,630,803,1430,1845,300,560,0,0,1421,2275,69,85,0,0,0,0,0.7347803968119383,2026,experimental_L2_derived_not_forecast_promoted
house,47,20610,31036,9028,14180,11581,16853,1,209,191,292,1098,2142,1627,3143,1916,3384,3898,5995,3369,4873,2920,3926,2946,3740,1948,2471,695,1064,6424,11210,13342,18264,844,1562,0,0,15024,20731,519,1042,2541,5173,468,902,315,722,1743,2672,2515,5098,2593,3368,11878,16387,553,976,0,0,391,872,128,169,0,1,0,0,2449,5049,92,123,0,1,0,0,384,786,84,116,0,0,0,0,228,600,87,122,0,0,0,0,379,535,1073,1347,291,584,0,0,2426,4979,89,118,0,1,0,0,0.6640675344760922,2026,experimental_L2_derived_not_forecast_promoted
house,48,26361,36711,11898,17034,14463,19677,0,288,282,389,1605,2943,1968,3645,1590,2907,4057,5828,4444,5683,4528,5529,4192,4950,2827,3482,864,1342,5554,8304,19677,26459,1130,1948,0,0,20850,28318,499,784,1519,2468,431,790,412,697,2650,3942,1503,2446,2725,3578,17437,23558,688,1182,0,0,318,563,181,221,0,0,0,0,1431,2355,87,112,1,1,0,0,320,644,111,146,0,0,0,0,239,462,173,231,0,4,0,0,521,702,1688,2191,441,761,0,0,1417,2336,85,109,1,1,0,0,0.7180681539593038,2026,experimental_L2_derived_not_forecast_promoted
