chamber,district,Projected_TotalPop_VAP_2026,Projected_HispanicOrLatino_VAP_2026,Projected_WhiteAloneNotHisp_VAP_2026,Projected_WhiteAlone_VAP_2026,Projected_BlackOrAfAmAlone_VAP_2026,Projected_AmIndianOrAKNativeAlone_VAP_2026,Projected_AsianAlone_VAP_2026,Projected_PacificIslanderAlone_VAP_2026,Projected_OtherRaceAlone_VAP_2026,Projected_TwoOrMoreRaces_VAP_2026,projected_vap_white_nh_share,projected_vap_nonwhite_share,projected_vap_black_share,projected_vap_hispanic_share,cycle,status
house,22,39347,1061,33099,33606,3234,308,514,0,271,1414,0.8412077159630975,0.1587922840369025,0.0821917808219178,0.02696520700434595,2026,experimental_RDH_population_projection
house,23,39897,1233,35558,36186,1211,195,93,7,571,1634,0.8912449557610848,0.10875504423891524,0.03035315938541745,0.030904579291676067,2026,experimental_RDH_population_projection
house,24,39514,4825,33106,34306,581,304,64,19,2270,1970,0.8378296300045553,0.16217036999544465,0.014703649339474616,0.12210861972971605,2026,experimental_RDH_population_projection
house,25,42507,3199,27938,29632,7554,151,2436,8,558,2168,0.6572564518785141,0.3427435481214859,0.1777119062742607,0.07525819276824994,2026,experimental_RDH_population_projection
house,26,36636,9550,26275,29102,1155,667,126,26,3161,2399,0.7171907413473086,0.28280925865269135,0.0315263675073698,0.2606725625068239,2026,experimental_RDH_population_projection
house,27,38628,2420,33822,35225,866,124,268,6,523,1616,0.8755824790307549,0.12441752096924508,0.022418970694832764,0.06264885575230403,2026,experimental_RDH_population_projection
house,28,38654,2809,23983,25193,10630,147,359,7,1227,1091,0.6204532519273556,0.37954674807264444,0.2750038805815698,0.0726703575309153,2026,experimental_RDH_population_projection
house,29,37532,746,33905,34469,1745,33,66,118,220,881,0.9033624640306938,0.09663753596930624,0.046493658744537994,0.0198763721624214,2026,experimental_RDH_population_projection
house,30,34532,1056,31351,31750,1455,56,160,50,160,901,0.9078825437275571,0.09211745627244294,0.042134831460674156,0.030580331286922276,2026,experimental_RDH_population_projection
house,31,37970,805,27999,28769,7955,40,39,0,103,1064,0.7373979457466421,0.2626020542533579,0.20950750592573084,0.02120094811693442,2026,experimental_RDH_population_projection
house,32,35003,1216,14148,15519,18074,64,149,0,343,854,0.40419392623489414,0.5958060737651059,0.5163557409364912,0.03473987943890524,2026,experimental_RDH_population_projection
house,33,35022,850,23692,24241,9678,27,68,0,365,643,0.6764890640169037,0.3235109359830963,0.27634058591742333,0.024270458568899547,2026,experimental_RDH_population_projection
house,34,35496,2938,31013,32472,510,96,25,47,890,1456,0.8737040793328826,0.12629592066711737,0.014367816091954023,0.0827698895650214,2026,experimental_RDH_population_projection
house,35,36296,1439,27772,28457,5873,1,156,23,715,1071,0.7651531849239586,0.23484681507604144,0.16180846374256116,0.03964624201013886,2026,experimental_RDH_population_projection
house,36,41203,1309,32198,33022,6107,59,521,28,603,863,0.7814479528189695,0.2185520471810305,0.14821736281338738,0.03176953134480499,2026,experimental_RDH_population_projection
house,37,41020,1365,28601,29811,9059,166,403,1,240,1340,0.6972452462213554,0.3027547537786446,0.22084349098000974,0.033276450511945395,2026,experimental_RDH_population_projection
house,38,39746,1898,27045,28010,9674,45,223,0,512,1282,0.6804458310270216,0.3195541689729784,0.24339556181754138,0.04775323302973884,2026,experimental_RDH_population_projection
house,39,38342,4360,31925,33035,1018,506,21,122,2282,1358,0.8326378384017527,0.16736216159824735,0.02655051901309269,0.11371342131344218,2026,experimental_RDH_population_projection
house,40,38935,1279,31735,32522,4911,105,283,26,322,766,0.8150764094002825,0.18492359059971752,0.12613329908822396,0.03284962116347759,2026,experimental_RDH_population_projection
house,41,41923,2442,31064,32070,7255,32,237,0,1128,1201,0.7409775063807457,0.25902249361925433,0.17305536340433653,0.058249648164492046,2026,experimental_RDH_population_projection
house,42,40170,2062,33248,33919,4026,187,158,129,626,1125,0.827682350012447,0.17231764998755295,0.10022404779686334,0.05133183968135424,2026,experimental_RDH_population_projection
house,43,42737,1674,32962,33904,4645,63,1775,0,766,1584,0.7712754755832183,0.2287245244167817,0.10868802208858834,0.039169806022884154,2026,experimental_RDH_population_projection
house,44,35529,1477,24698,25908,7708,73,753,43,323,721,0.6951504404852374,0.30484955951476256,0.21694953418334317,0.04157167384390217,2026,experimental_RDH_population_projection
house,45,38113,2606,30042,31126,4246,40,232,11,763,1695,0.7882349854380395,0.2117650145619605,0.11140555715897463,0.0683756198672369,2026,experimental_RDH_population_projection
house,46,37842,1432,30242,30789,4067,14,1290,0,573,1109,0.7991649489984674,0.20083505100153265,0.10747317795042545,0.03784155171502563,2026,experimental_RDH_population_projection
house,47,36459,2281,23543,24686,8174,183,1679,0,511,1226,0.6457390493430977,0.35426095065690233,0.22419704325406623,0.06256342741161304,2026,experimental_RDH_population_projection
house,48,31643,858,26644,26833,2535,28,1078,0,344,825,0.8420187719242802,0.1579812280757198,0.080112505135417,0.027115001738141138,2026,experimental_RDH_population_projection
house,49,41170,4389,30165,32146,5550,425,295,5,1388,1361,0.7326937090114161,0.26730629098858394,0.13480689822686423,0.10660675248967695,2026,experimental_RDH_population_projection
house,50,41412,981,34298,34956,4562,163,99,33,226,1373,0.828214044238385,0.17178595576161504,0.11016130590167102,0.023688785859171255,2026,experimental_RDH_population_projection
house,51,32237,1021,25732,26561,4038,39,105,7,367,1120,0.7982132332413066,0.20178676675869345,0.12525979464590378,0.031671681608090085,2026,experimental_RDH_population_projection
house,52,38858,2913,10597,11865,23926,87,543,43,1279,1115,0.2727108960831746,0.7272891039168254,0.6157290648000412,0.0749652581193062,2026,experimental_RDH_population_projection
house,53,44003,5662,14780,16783,22365,225,728,41,1865,1996,0.33588618957798333,0.6641138104220167,0.5082608003999727,0.12867304501965776,2026,experimental_RDH_population_projection
house,54,33971,1362,13128,13920,18577,48,253,0,351,822,0.38644726384268935,0.6135527361573107,0.5468487827853169,0.04009302051750022,2026,experimental_RDH_population_projection
house,55,35364,1364,11575,12362,20172,28,1129,4,507,1162,0.3273102590204728,0.6726897409795272,0.5704105870376655,0.0385702974776609,2026,experimental_RDH_population_projection
house,56,35371,2382,9886,10827,21674,40,896,0,772,1162,0.2794945011450058,0.7205054988549942,0.6127618670662407,0.06734330383647621,2026,experimental_RDH_population_projection
house,57,35117,2401,10422,11737,21161,60,68,0,1203,888,0.2967793376427371,0.7032206623572629,0.6025856422815161,0.068371444029957,2026,experimental_RDH_population_projection
house,58,33133,1877,8894,9994,21105,41,188,12,684,1109,0.26843328403706274,0.7315667159629373,0.6369782392176984,0.05665046932061691,2026,experimental_RDH_population_projection
house,59,33642,2492,6891,7878,23463,48,79,31,1243,900,0.20483324415908685,0.7951667558409131,0.6974317817014446,0.07407407407407407,2026,experimental_RDH_population_projection
house,60,35416,647,10844,11203,22861,20,153,0,388,791,0.3061892929749266,0.6938107070250734,0.6454992093968828,0.018268579173255025,2026,experimental_RDH_population_projection
house,61,37631,1731,29070,29616,6685,30,145,6,294,855,0.7725013951263586,0.22749860487364137,0.17764608966012063,0.045999309080279556,2026,experimental_RDH_population_projection
house,62,42572,2203,30254,30558,9980,132,265,0,553,1084,0.710654890538382,0.28934510946161796,0.234426383538476,0.051747627548623505,2026,experimental_RDH_population_projection
house,63,45222,2767,31022,32928,8384,20,1455,27,604,1804,0.685993542965813,0.31400645703418695,0.1853964884348326,0.06118703286011234,2026,experimental_RDH_population_projection
house,64,47323,3245,36675,38471,5481,131,381,17,878,1964,0.7749931323035311,0.22500686769646894,0.11582105952707986,0.06857130782072142,2026,experimental_RDH_population_projection
house,65,36588,454,23359,23911,10708,1013,93,0,38,825,0.6384333661309719,0.3615666338690281,0.2926642615065049,0.012408439925658685,2026,experimental_RDH_population_projection
house,66,40271,925,29932,30235,7803,948,43,0,186,1056,0.7432643837997567,0.2567356162002433,0.19376226068386682,0.022969382434009585,2026,experimental_RDH_population_projection
house,67,33310,290,9652,10069,22833,23,111,0,31,243,0.28976283398378866,0.7102371660162113,0.6854698288802161,0.00870609426598619,2026,experimental_RDH_population_projection
house,68,35804,156,16081,16786,18310,140,47,8,52,461,0.4491397609205675,0.5508602390794325,0.511395374818456,0.004357055077644956,2026,experimental_RDH_population_projection
house,69,38458,876,17175,17912,19612,6,146,0,238,544,0.44659108637994693,0.5534089136200531,0.5099589162202922,0.022778095584793802,2026,experimental_RDH_population_projection
house,70,42502,2420,14347,15878,23782,82,923,0,630,1207,0.33756058538421724,0.6624394146157828,0.5595501388169969,0.05693849701190532,2026,experimental_RDH_population_projection
house,71,39513,1716,16073,16948,21227,38,115,0,284,901,0.40677751626047126,0.5932224837395288,0.5372155999291373,0.04342874497000987,2026,experimental_RDH_population_projection
house,72,39742,406,14362,15169,23278,34,374,0,61,826,0.3613809068491772,0.6386190931508229,0.5857279452468421,0.010215892506668009,2026,experimental_RDH_population_projection
house,73,39245,4931,28000,29931,5148,133,517,8,1480,2028,0.7134666836539687,0.2865333163460313,0.13117594598037965,0.1256465791820614,2026,experimental_RDH_population_projection
house,74,34001,1507,11667,12257,19686,19,772,7,517,743,0.3431369665598071,0.6568630334401929,0.5789829710890856,0.04432222581688774,2026,experimental_RDH_population_projection
house,75,37136,1352,24377,25019,8119,47,2779,0,252,920,0.6564250323136579,0.3435749676863421,0.21862882378285223,0.036406721240844465,2026,experimental_RDH_population_projection
house,76,32525,1275,6506,6794,23191,75,1064,10,246,1145,0.20003074558032283,0.7999692544196771,0.7130207532667179,0.03920061491160646,2026,experimental_RDH_population_projection
house,77,34329,2514,10220,11241,20811,109,250,0,450,1468,0.2977074776428093,0.7022925223571908,0.6062221445425151,0.07323254391330945,2026,experimental_RDH_population_projection
house,78,33658,1144,8859,9583,21825,19,971,0,464,796,0.2632063699566225,0.7367936300433775,0.6484342504010934,0.03398894764989007,2026,experimental_RDH_population_projection
house,79,45802,2028,31649,32593,7066,36,3849,15,941,1302,0.6909960263743942,0.30900397362560583,0.15427273918169512,0.044277542465394525,2026,experimental_RDH_population_projection
house,80,41100,2156,28258,29770,8382,67,493,0,529,1859,0.6875425790754258,0.3124574209245742,0.20394160583941606,0.052457420924574207,2026,experimental_RDH_population_projection
house,81,35938,1049,25238,25775,8180,40,287,0,385,1271,0.7022650119650509,0.29773498803494913,0.22761422449774613,0.02918915910735155,2026,experimental_RDH_population_projection
house,82,36742,1290,14623,15644,18402,35,1068,13,556,1024,0.397991399488324,0.602008600511676,0.5008437210821404,0.035109683740678244,2026,experimental_RDH_population_projection
house,83,37269,1842,15319,16297,19056,53,497,25,335,1006,0.41103866484209395,0.588961335157906,0.511309667552121,0.04942445464058601,2026,experimental_RDH_population_projection
house,84,36911,2309,14010,14607,20111,52,102,6,1194,839,0.3795616482891279,0.620438351710872,0.5448511283899109,0.06255587765164856,2026,experimental_RDH_population_projection
house,85,36562,1034,19513,20117,15007,83,236,0,154,965,0.5336961872982878,0.4663038127017122,0.4104534762868552,0.028280728625348722,2026,experimental_RDH_population_projection
house,86,36944,1499,26831,27737,7165,116,237,7,306,1376,0.7262613685578172,0.2737386314421828,0.1939421827631009,0.04057492420961455,2026,experimental_RDH_population_projection
house,87,38738,1909,31526,32928,3655,62,312,11,651,1119,0.8138262171511178,0.1861737828488822,0.09435179926686973,0.0492797769631886,2026,experimental_RDH_population_projection
house,88,38524,1767,25767,27123,8483,122,719,0,383,1694,0.6688557782161769,0.3311442217838231,0.2202003945592358,0.04586751116187312,2026,experimental_RDH_population_projection
house,89,35850,1879,21208,22402,10735,101,827,13,574,1198,0.5915760111576012,0.40842398884239883,0.299442119944212,0.052412831241283125,2026,experimental_RDH_population_projection
house,90,34898,664,22099,22628,11221,67,289,0,73,620,0.6332454581924466,0.3667545418075534,0.3215370508338587,0.019026878331136456,2026,experimental_RDH_population_projection
house,91,37693,3798,25205,27017,6836,145,393,41,746,2515,0.6686917995383759,0.3313082004616241,0.18135993420529012,0.1007614145862627,2026,experimental_RDH_population_projection
house,92,36821,685,29761,30630,4755,54,81,1,196,1104,0.8082615898536162,0.19173841014638382,0.12913826349094268,0.018603514298905516,2026,experimental_RDH_population_projection
house,93,37347,1820,25410,26723,8141,114,522,19,449,1379,0.6803759338099445,0.31962406619005546,0.21798270276059656,0.048732160548370686,2026,experimental_RDH_population_projection
house,94,43353,2264,37623,38057,2397,130,115,53,930,1671,0.8678292159712131,0.1321707840287869,0.05529029132931977,0.052222452886766774,2026,experimental_RDH_population_projection
house,95,46610,2715,39807,41353,1323,116,591,8,1379,1840,0.854044196524351,0.14595580347564896,0.028384466852606736,0.05824930272473718,2026,experimental_RDH_population_projection
house,96,42581,2166,33652,34534,4772,246,576,0,449,2004,0.7903055353326601,0.20969446466733987,0.11206876306333811,0.05086775792019915,2026,experimental_RDH_population_projection
house,97,33623,466,13799,13951,18415,111,85,3,113,945,0.41040359277875266,0.5895964072212474,0.5476905689557743,0.01385956041995063,2026,experimental_RDH_population_projection
