district,total_population,white_population,age25_population,white_age25_population,college_population,white_college_population,nonwhite_share,college_share,white_college_share,source_population_coverage,allocation_method,census_vintage,chamber,cycle
1,35150.31998428559,28666.025884055518,22434.401055915627,19114.804569231095,4374.759614668522,4018.449086828228,0.184473259507423,0.19500229151493043,0.2102270558024268,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
2,45611.559719305966,43610.26828823983,29727.64463335218,28511.732515620773,4158.087720010996,4033.642003248054,0.0438768470839872,0.13987276056663886,0.1414730585396077,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
3,38667.45218607732,30915.937329703975,25687.075458918196,21208.927014909877,3359.73789762209,2977.2788488488195,0.20046613930163126,0.13079487787527153,0.14037857015377497,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
4,44309.23078717414,38456.0140789792,28606.17013458862,25289.139262450553,7952.607420664695,7481.893961200072,0.13209926248345594,0.27800322039785913,0.29585403771765484,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
5,35428.843865704745,30996.904972115837,23257.045015103016,20421.731692785583,3372.2421210032294,3168.261852823054,0.12509408747258166,0.14499873560090334,0.15514168438234407,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
6,35242.208039470104,28624.689144327163,22738.488110991362,19063.69278735951,7010.599764896249,5951.337612633853,0.18777253932930482,0.30831424370327665,0.312181783404524,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
7,39433.33633605969,32484.810029587312,24752.191024965643,21293.28066980318,1639.0540281938315,1401.466890786288,0.17620944490355794,0.06621854309950352,0.06581733047710972,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
8,31746.031355753592,26011.89430159929,20704.934125950018,17720.540162636542,3142.914794681705,2936.624834697598,0.18062531942642512,0.15179545008755235,0.1657186974971238,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
9,48517.03565936201,43896.38542631266,30928.565079488948,28365.18623704571,4271.780989515718,4080.124862033459,0.09523768652089382,0.13811765849908944,0.14384269604070868,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
10,40047.26823636137,35881.86954604995,25161.99489989247,22991.17489387903,11035.083771871035,10133.552498553858,0.1040120555970756,0.43856156142525066,0.4407583581668863,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
11,38240.54387178342,37893.04550126893,24604.134293505464,24416.05972466593,1952.484300020481,1938.4366058649214,0.009087171241068615,0.07935594387224025,0.07939186861943359,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
12,40297.404986683265,39597.80945638858,26292.97008536375,25918.82989651773,2068.6075209209034,2050.5903640812826,0.017360808481982182,0.07867530804640495,0.07911585408247096,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
13,39444.2632459199,36441.71318318206,25765.324017678282,24045.394720045362,2475.6038032979695,2358.8548553828427,0.07612133718959557,0.09608277394840412,0.09810006792761823,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
14,47361.68063356794,44771.67022605449,30695.675321042836,29189.736583999795,2939.744095758509,2811.5348115791235,0.05468577915450412,0.09577062778427368,0.0963192937177875,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
15,45331.016088939316,41376.137086066636,29891.083713974003,27585.341203461834,5707.112532738535,5431.419438144385,0.08724443756374711,0.19093026493617812,0.19689513347265636,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
16,37408.62649386552,31505.584224104965,24174.04520248801,20888.00891156084,1746.2172186778191,1659.656231025439,0.15779895770106855,0.07223520945919705,0.07945497524691655,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,house,1994
