cycle,acs_vintage,chamber,district,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E
2014,2014,house,8,"State House District 8 (2014), Alabama",45485,31151,0.35279762559085415,0.19379795191165614,0.24084315503173165,22060
2014,2014,house,9,"State House District 9 (2014), Alabama",45494,30549,0.08842924341671432,0.17139677239844184,0.1668769716088328,28530
2014,2014,house,10,"State House District 10 (2014), Alabama",48216,32753,0.30126928820308607,0.45287454584312886,0.4753039190682649,23526
2014,2014,house,11,"State House District 11 (2014), Alabama",45012,30532,0.09321958588820756,0.12491811869513952,0.1272471416007036,28425
2014,2014,house,12,"State House District 12 (2014), Alabama",45186,31157,0.08307882972602132,0.153031421510415,0.16025772842552607,29178
2014,2014,house,13,"State House District 13 (2014), Alabama",46198,31891,0.1117147928481752,0.1346461384089555,0.13930314067761665,29102
2014,2014,house,14,"State House District 14 (2014), Alabama",42961,30739,0.05193082097716528,0.09788867562380038,0.09732194507775548,29387
2014,2014,house,15,"State House District 15 (2014), Alabama",47051,31962,0.17551167881660323,0.3331456104123647,0.3177050281832095,26789
2014,2014,house,16,"State House District 16 (2014), Alabama",43771,31077,0.13908752370290833,0.13199472278533964,0.13467123389679053,26858
2014,2014,house,17,"State House District 17 (2014), Alabama",45558,32251,0.073115588919619,0.10653933211373291,0.10668307774192476,30061
2014,2014,house,18,"State House District 18 (2014), Alabama",44959,30544,0.18992860161480463,0.12041644840230487,0.13268183398354513,25889
2014,2014,house,19,"State House District 19 (2014), Alabama",47829,28998,0.6847519287461582,0.27046692875370715,0.28937308868501527,10464
2014,2014,house,20,"State House District 20 (2014), Alabama",46159,33257,0.11306570766264434,0.5649938358841747,0.5655468049047951,30093
2014,2014,house,21,"State House District 21 (2014), Alabama",46647,33786,0.17499517653868413,0.4081572248860475,0.4079199637466448,28687
2014,2014,house,22,"State House District 22 (2014), Alabama",47008,33008,0.11766082368958475,0.22015874939408628,0.21564840229067128,29511
2014,2014,house,23,"State House District 23 (2014), Alabama",45002,31770,0.11030620861295048,0.13654390934844193,0.13844282238442823,28770
2014,2014,house,24,"State House District 24 (2014), Alabama",46093,31069,0.15809341982513614,0.11834948018925617,0.12494091123959129,27501
2014,2014,house,25,"State House District 25 (2014), Alabama",45510,29929,0.27431333772797184,0.5221023087974874,0.5468336250617117,22281
2014,2014,house,26,"State House District 26 (2014), Alabama",45856,28512,0.2871598046057222,0.14509680134680134,0.1716090542200386,22796
2014,2014,house,27,"State House District 27 (2014), Alabama",45863,32211,0.06837755925255651,0.1845642792834746,0.18585234369863915,30422
2014,2014,house,28,"State House District 28 (2014), Alabama",46218,31418,0.365463672162361,0.13861480679865046,0.152438739789965,21425
2014,2014,house,29,"State House District 29 (2014), Alabama",46767,31846,0.12472469903992134,0.12692331847013755,0.13023821944009736,28755
2014,2014,house,30,"State House District 30 (2014), Alabama",44645,30898,0.09447866502407887,0.16845750534015147,0.16521155137676294,28291
2014,2014,house,31,"State House District 31 (2014), Alabama",43716,29818,0.1907997072010248,0.20641894157891208,0.22318457035165803,24939
2014,2014,house,32,"State House District 32 (2014), Alabama",44419,29711,0.6603930750354579,0.10467503618188549,0.1212468081359514,11357
2014,2014,house,33,"State House District 33 (2014), Alabama",45329,31363,0.2662092700037504,0.11025730956859994,0.12742845205765616,23935
2014,2014,house,34,"State House District 34 (2014), Alabama",44968,29964,0.14448051948051943,0.12394873848618342,0.1306090343845981,26698
2014,2014,house,35,"State House District 35 (2014), Alabama",44693,31144,0.21475398832031867,0.11983046493706653,0.12209302325581395,25112
2014,2014,house,36,"State House District 36 (2014), Alabama",45468,32277,0.20904812175596021,0.1999256436471791,0.20467440724457972,26613
2014,2014,house,37,"State House District 37 (2014), Alabama",46579,32468,0.322162347839155,0.1126031785142294,0.1313334793080797,22835
2014,2014,house,38,"State House District 38 (2014), Alabama",47278,32471,0.219954312788189,0.1824397154383912,0.1945819423659875,26061
2014,2014,house,39,"State House District 39 (2014), Alabama",44810,31728,0.10943985717473781,0.12194276348966213,0.12258489715217316,28829
2014,2014,house,40,"State House District 40 (2014), Alabama",47151,29882,0.15719709019957162,0.20035472859915668,0.20390891840607211,26350
2014,2014,house,41,"State House District 41 (2014), Alabama",46931,31934,0.19667170953101365,0.2745976075656041,0.288131785847997,26710
2014,2014,house,42,"State House District 42 (2014), Alabama",45394,30547,0.1767854782570384,0.14459685075457493,0.15283758097676403,25779
2014,2014,house,43,"State House District 43 (2014), Alabama",46920,32747,0.18567774936061376,0.5355299722111949,0.5609924943525468,27446
2014,2014,house,44,"State House District 44 (2014), Alabama",44907,31109,0.16779121295121024,0.30007393358835066,0.28539224526600543,26616
2014,2014,house,45,"State House District 45 (2014), Alabama",45733,32190,0.2238427393785669,0.42696489593041315,0.4558125168912397,25901
2014,2014,house,46,"State House District 46 (2014), Alabama",45411,28245,0.14225628151769398,0.6871658700654983,0.722130053008538,24713
2014,2014,house,47,"State House District 47 (2014), Alabama",45875,31793,0.3876403269754768,0.502123108860441,0.5625290778821996,21494
2014,2014,house,48,"State House District 48 (2014), Alabama",45991,31404,0.16007479724293883,0.6569863711629091,0.6914499518411499,26994
2014,2014,house,49,"State House District 49 (2014), Alabama",47146,30374,0.2334450430577355,0.17890300915256468,0.19128329297820823,24367
2014,2014,house,50,"State House District 50 (2014), Alabama",47337,32718,0.1306800177451043,0.16697230882083258,0.16572041819566571,28886
2014,2014,house,51,"State House District 51 (2014), Alabama",44952,31003,0.13674586225306995,0.17424120246427766,0.17537395111273257,27410
2014,2014,house,52,"State House District 52 (2014), Alabama",44093,29814,0.653845281563967,0.3376937009458644,0.602523082548679,10939
2014,2014,house,53,"State House District 53 (2014), Alabama",43590,26220,0.6994494150034412,0.16022120518688024,0.18422953865207967,9689
2014,2014,house,54,"State House District 54 (2014), Alabama",45854,32364,0.6252671522658874,0.3049993820294154,0.4645701730293875,14564
2014,2014,house,55,"State House District 55 (2014), Alabama",44546,28776,0.800004489740942,0.1721573533500139,0.3055050421557282,6049
2014,2014,house,59,"State House District 59 (2014), Alabama",44635,28999,0.8439565363503977,0.11617641987654746,0.1798951048951049,5720
2014,2014,house,56,"State House District 56 (2014), Alabama",45554,30099,0.6933090398208719,0.2239609289345161,0.2710158434296365,10730
2014,2014,house,57,"State House District 57 (2014), Alabama",44670,29780,0.7197671815536154,0.16581598388179986,0.12552862300154718,9695
2014,2014,house,58,"State House District 58 (2014), Alabama",46818,29337,0.7815583749839805,0.18137505539080342,0.19943522767384397,8499
2014,2014,house,60,"State House District 60 (2014), Alabama",44510,29925,0.7427095034823635,0.19565580618212197,0.19457924014676292,8449
2014,2014,house,61,"State House District 61 (2014), Alabama",45103,30072,0.22710241003924347,0.2118249534450652,0.23161687685926174,23867
2014,2014,house,62,"State House District 62 (2014), Alabama",49208,31313,0.22197610144691915,0.2339603359626992,0.22366179325646818,25239
2014,2014,house,63,"State House District 63 (2014), Alabama",43400,22281,0.23668202764976953,0.48269826309411606,0.5326958314246449,17464
2014,2014,house,64,"State House District 64 (2014), Alabama",47043,31427,0.190591586420934,0.17513602952874915,0.18578923357664234,26304
2014,2014,house,65,"State House District 65 (2014), Alabama",44733,31077,0.30418259450517515,0.12938829359333268,0.1412751076040172,22304
2014,2014,house,66,"State House District 66 (2014), Alabama",46256,31871,0.31883431338637147,0.10925292585736249,0.12398909985935302,22752
2014,2014,house,67,"State House District 67 (2014), Alabama",44018,28728,0.7086192012358581,0.14317042606516292,0.2108458530561844,9718
2014,2014,house,68,"State House District 68 (2014), Alabama",43442,28766,0.672528889093504,0.09069735103942154,0.15373712557875838,10583
2014,2014,house,69,"State House District 69 (2014), Alabama",45606,30328,0.6949743454808578,0.13713400158269587,0.21139530444741364,10478
2014,2014,house,70,"State House District 70 (2014), Alabama",48243,28513,0.6675579876873329,0.20758952056956476,0.3593141797961075,10790
