cycle,chamber,expected_districts,observed_districts,district_number_complete,state_population_sum,district_population_cv
2014,house,105,105,True,4817678,0.03434256200073195
2014,senate,35,35,True,4817678,0.022083228723601394
2018,house,105,105,True,4864680,0.05999511240908405
2018,senate,35,35,True,4864680,0.044811663299889906
2022,house,105,105,True,5028092,0.04743102032455014
2022,senate,35,35,True,5028092,0.040446259493599285
