model_run_id,cycle,lag_context_available,n,missing_context_share,lag_available_fit_rows,headline_mean_abs_lag_component,no_lag_spec_n,no_lag_spec_mean_diff,no_lag_spec_mae,no_lag_spec_max_abs_diff,no_lag_spec_sign_change_share,no_lag_spec_spearman,lag_available_fit_n,lag_available_fit_mean_diff,lag_available_fit_mae,lag_available_fit_max_abs_diff,lag_available_fit_sign_change_share,lag_available_fit_spearman,missing_excluded_fit_n,missing_excluded_fit_mean_diff,missing_excluded_fit_mae,missing_excluded_fit_max_abs_diff,missing_excluded_fit_sign_change_share,missing_excluded_fit_spearman
WAR-POST2016-V3-530FBD4238CC483E557C,all,all,3660,0.6491803278688525,1284,0.8374802771343468,3660,1.644828778340833e-15,0.6760240226437392,12.350889541930208,0.05245901639344262,0.9773621008159373,1284,0.05697096282530852,1.382856643410671,13.197426203686254,0.12071651090342679,0.8793889224399486,3426,0.9623984599764807,3.4215204245081723,40.808193810567545,0.2133683596030356,0.7123916431409807
WAR-POST2016-V3-530FBD4238CC483E557C,all,available,1284,0.0,1284,2.387210135756783,1284,-0.03431767620949887,1.3089670104034212,12.350889541930208,0.11604361370716511,0.9232992387989336,1284,0.05697096282530852,1.382856643410671,13.197426203686254,0.12071651090342679,0.8793889224399486,1284,0.05697096282530852,1.382856643410671,13.197426203686254,0.12071651090342679,0.8793889224399486
WAR-POST2016-V3-530FBD4238CC483E557C,all,missing,2376,1.0,1284,0.0,2376,0.018545410880893336,0.3339790747130018,3.9464819930321227,0.0180976430976431,0.9963104901504919,0,,,,,,2142,1.5051477159718614,4.6435765846058334,40.808193810567545,0.2689075630252101,0.6726505222450113
WAR-POST2016-V3-530FBD4238CC483E557C,2018,all,1025,0.6614634146341464,347,1.3923978171949047,1025,8.405200654723136e-16,1.268857038729474,9.630929540389381,0.06146341463414634,0.9697731243759805,347,-0.008563634232948713,2.8081167081296927,13.197426203686254,0.1873198847262248,0.8062377541718387,1025,1.860527224236893,5.412901036451564,40.808193810567545,0.2780487804878049,0.615577986824276
WAR-POST2016-V3-530FBD4238CC483E557C,2018,available,347,0.0,347,4.112990670388407,347,-0.12282136938838585,2.039652130343819,9.630929540389381,0.10662824207492795,0.9246260121925511,347,-0.008563634232948713,2.8081167081296927,13.197426203686254,0.1873198847262248,0.8062377541718387,347,-0.008563634232948713,2.8081167081296927,13.197426203686254,0.1873198847262248,0.8062377541718387
WAR-POST2016-V3-530FBD4238CC483E557C,2018,missing,678,1.0,347,0.0,678,0.06285990439199224,0.8743645655876191,3.9464819930321227,0.038348082595870206,0.9903390137324147,0,,,,,,678,2.817126822893287,6.746028118940781,40.808193810567545,0.32448377581120946,0.582837684276423
WAR-POST2016-V3-530FBD4238CC483E557C,2019,all,144,1.0,0,0.0,144,1.2401345382705308e-15,2.8437900182846456e-15,7.105427357601002e-15,0.0,1.0,0,,,,,,0,,,,,
WAR-POST2016-V3-530FBD4238CC483E557C,2019,available,0,,0,,0,,,,,,0,,,,,,0,,,,,
WAR-POST2016-V3-530FBD4238CC483E557C,2019,missing,144,1.0,0,0.0,144,1.2401345382705308e-15,2.8437900182846456e-15,7.105427357601002e-15,0.0,1.0,0,,,,,,0,,,,,
WAR-POST2016-V3-530FBD4238CC483E557C,2020,all,870,0.6919540229885057,268,0.6951437231024444,870,7.523994199068877e-16,0.5611139518911082,6.103022196607135,0.05057471264367816,0.979243474884432,268,0.08297981045550544,1.8493615027966812,5.464169996043607,0.21641791044776118,0.8134019763760039,870,0.9549961133112788,2.530746701757881,15.181602131100487,0.2,0.8441673559962516
WAR-POST2016-V3-530FBD4238CC483E557C,2020,available,268,0.0,268,2.2566232802206216,268,-0.11567893757218138,1.400693705427449,6.103022196607135,0.1417910447761194,0.9088985547181597,268,0.08297981045550544,1.8493615027966812,5.464169996043607,0.21641791044776118,0.8134019763760039,268,0.08297981045550544,1.8493615027966812,5.464169996043607,0.21641791044776118,0.8134019763760039
WAR-POST2016-V3-530FBD4238CC483E557C,2020,missing,602,1.0,268,0.0,602,0.05149826456701873,0.18734754998456424,1.0685559521866776,0.009966777408637873,0.9990037705403915,0,,,,,,602,1.3432027066091976,2.8340876208967534,15.181602131100487,0.19269102990033224,0.8583702402190738
WAR-POST2016-V3-530FBD4238CC483E557C,2022,all,761,0.5597897503285151,335,0.8700848494986466,761,9.30778304482063e-15,0.5144502355968182,12.350889541930208,0.0657030223390276,0.9669568799750365,335,0.10977999975403388,0.35382774902087355,1.265203969081477,0.04776119402985075,0.9877232741340348,761,1.2936261415327805,1.847509191002386,7.900244346148941,0.16294349540078842,0.8057456789303231
WAR-POST2016-V3-530FBD4238CC483E557C,2022,available,335,0.0,335,1.9765211058760301,335,0.042572774457454374,1.0490059592054157,12.350889541930208,0.12835820895522387,0.9134689044086667,335,0.10977999975403388,0.35382774902087355,1.265203969081477,0.04776119402985075,0.9877232741340348,335,0.10977999975403388,0.35382774902087355,1.265203969081477,0.04776119402985075,0.9877232741340348
