state,year,election_date,election_stage,race_id,chamber,district,office,candidate_name,party,party_label,candidate_votes,source_file,race_index_source,selected_final_stage,is_final_stage
LA,1995,19951021,first_round,8132,senate,1,State Senator --  1st Senatorial District,"Gilbert ""Gibby"" Andry",D,DEM,7773,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8132.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8132,senate,1,State Senator --  1st Senatorial District,Lynn Dean,R,REP,19794,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8132.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8132,senate,1,State Senator --  1st Senatorial District,"Samuel B. ""Sammy"" Nunez, Jr.",D,DEM,15137,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8132.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8133,senate,2,State Senator --  2nd Senatorial District,Joe Aidoo,D,DEM,7242,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8133.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8133,senate,2,State Senator --  2nd Senatorial District,Jon D. Johnson,D,DEM,14209,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8133.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8133,senate,2,State Senator --  2nd Senatorial District,Catherine Smith Washington,D,DEM,4705,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8133.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8135,senate,4,State Senator --  4th Senatorial District,Paulette R. Irons,D,DEM,22380,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8135.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8135,senate,4,State Senator --  4th Senatorial District,"Dalton Savwoir, Jr.",D,DEM,3424,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8135.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8138,senate,7,State Senator --  7th Senatorial District,"A.F. ""Sonny"" Armond",D,DEM,4286,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8138.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8138,senate,7,State Senator --  7th Senatorial District,Lynn Cheramie,R,REP,6371,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8138.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8138,senate,7,State Senator --  7th Senatorial District,Francis C. Heitmeier,D,DEM,14551,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8138.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8139,senate,8,State Senator --  8th Senatorial District,"Dave Sanderson, Jr.",D,DEM,6232,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8139.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8139,senate,8,State Senator --  8th Senatorial District,J. Chris Ullo,D,DEM,23125,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8139.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8140,senate,9,State Senator --  9th Senatorial District,"""Ken"" Hollis",R,REP,29240,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8140.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8140,senate,9,State Senator --  9th Senatorial District,"""Greg"" Reinhard",R,REP,7361,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8140.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8141,senate,10,State Senator -- 10th Senatorial District,Betty Bonura,R,REP,14992,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8141.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8141,senate,10,State Senator -- 10th Senatorial District,"Arthur J. ""Art"" Lentini",R,REP,17327,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8141.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8142,senate,11,State Senator -- 11th Senatorial District,"Patricia ""Pat"" Brister",R,REP,7691,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8142.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8142,senate,11,State Senator -- 11th Senatorial District,"""Mike"" Cooper",D,DEM,5704,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8142.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8142,senate,11,State Senator -- 11th Senatorial District,"""Pete"" Dammon",R,REP,2704,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8142.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
